star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.7747061,5.119725e+00,8.027325e+00,6.913106e+00
6.000000e+04,-1.8111291,5.077648e+00,7.995134e+00,6.934227e+00
1.200000e+05,-1.8351581,5.041027e+00,7.970853e+00,6.947596e+00
1.800000e+05,-1.8523411,5.008794e+00,7.951757e+00,6.956825e+00
2.400000e+05,-1.8652331,4.980299e+00,7.936175e+00,6.963514e+00
3.000000e+05,-1.8752891,4.955047e+00,7.923141e+00,6.968630e+00
3.600000e+05,-1.8833211,4.932612e+00,7.911993e+00,6.972658e+00
4.200000e+05,-1.8898621,4.912789e+00,7.902291e+00,6.975910e+00
4.800000e+05,-1.8953701,4.894663e+00,7.893732e+00,6.978603e+00
5.400000e+05,-1.9000731,4.878011e+00,7.886092e+00,6.980871e+00
6.000000e+05,-1.9041391,4.862639e+00,7.879203e+00,6.982808e+00
6.600000e+05,-1.9077011,4.848327e+00,7.872941e+00,6.984484e+00
7.200000e+05,-1.9108371,4.835102e+00,7.867207e+00,6.985953e+00
7.800000e+05,-1.9136291,4.822761e+00,7.861924e+00,6.987249e+00
8.400000e+05,-1.9161331,4.811203e+00,7.857030e+00,6.988402e+00
9.001366e+05,-1.9183971,4.800326e+00,7.852464e+00,6.989437e+00
9.642920e+05,-1.9205761,4.789461e+00,7.847931e+00,6.990427e+00
1.032859e+06,-1.9226781,4.778609e+00,7.843424e+00,6.991376e+00
1.106228e+06,-1.9246951,4.767856e+00,7.838938e+00,6.992288e+00
1.185210e+06,-1.9266541,4.757035e+00,7.834449e+00,6.993166e+00
1.269711e+06,-1.9285331,4.746328e+00,7.829984e+00,6.994008e+00
1.360746e+06,-1.9303481,4.735694e+00,7.825515e+00,6.994821e+00
1.459023e+06,-1.9321061,4.725084e+00,7.821035e+00,6.995607e+00
1.564921e+06,-1.9338091,4.714511e+00,7.816553e+00,6.996366e+00
1.678981e+06,-1.9354561,4.703973e+00,7.812073e+00,6.997099e+00
1.801794e+06,-1.9370481,4.693468e+00,7.807596e+00,6.997808e+00
1.934092e+06,-1.9385821,4.683005e+00,7.803117e+00,6.998494e+00
2.076868e+06,-1.9400581,4.672606e+00,7.798628e+00,6.999160e+00
2.231411e+06,-1.9414791,4.662301e+00,7.794113e+00,6.999808e+00
2.399342e+06,-1.9428501,4.652073e+00,7.789551e+00,7.000440e+00
2.582195e+06,-1.9441701,4.641920e+00,7.784929e+00,7.001058e+00
2.781742e+06,-1.9454411,4.631893e+00,7.780232e+00,7.001664e+00
3.000482e+06,-1.9466681,4.621955e+00,7.775432e+00,7.002257e+00
3.240589e+06,-1.9478491,4.612104e+00,7.770516e+00,7.002840e+00
3.504664e+06,-1.9489831,4.602433e+00,7.765463e+00,7.003412e+00
3.796964e+06,-1.9500771,4.592832e+00,7.760231e+00,7.003975e+00
4.120269e+06,-1.9511251,4.583457e+00,7.754810e+00,7.004529e+00
4.480954e+06,-1.9521381,4.574159e+00,7.749139e+00,7.005078e+00
4.882605e+06,-1.9531081,4.565131e+00,7.743211e+00,7.005620e+00
5.334382e+06,-1.9540471,4.556186e+00,7.736948e+00,7.006160e+00
5.840858e+06,-1.9549441,4.547549e+00,7.730352e+00,7.006694e+00
6.414916e+06,-1.9558121,4.539001e+00,7.723330e+00,7.007225e+00
7.062157e+06,-1.9566381,4.530788e+00,7.715897e+00,7.007747e+00
7.799913e+06,-1.9574371,4.522667e+00,7.707955e+00,7.008263e+00
8.634753e+06,-1.9581991,4.514815e+00,7.699547e+00,7.008772e+00
9.585700e+06,-1.9589321,4.507182e+00,7.690610e+00,7.009276e+00
1.066862e+07,-1.9596381,4.499753e+00,7.681143e+00,7.009774e+00
1.189994e+07,-1.9603201,4.492513e+00,7.671161e+00,7.010268e+00
1.329630e+07,-1.9609821,4.485437e+00,7.660693e+00,7.010761e+00
1.487362e+07,-1.9616271,4.478502e+00,7.649783e+00,7.011256e+00
1.664676e+07,-1.9622581,4.471680e+00,7.638484e+00,7.011755e+00
1.862856e+07,-1.9628771,4.464901e+00,7.626853e+00,7.012260e+00
2.082388e+07,-1.9634831,4.458214e+00,7.614976e+00,7.012761e+00
2.324584e+07,-1.9640751,4.451570e+00,7.602881e+00,7.013250e+00
2.589714e+07,-1.9646571,4.444933e+00,7.590634e+00,7.013726e+00
2.877596e+07,-1.9652261,4.438315e+00,7.578297e+00,7.014188e+00
3.188452e+07,-1.9657841,4.431714e+00,7.565897e+00,7.014637e+00
3.522372e+07,-1.9663331,4.425103e+00,7.553455e+00,7.015077e+00
3.878844e+07,-1.9668721,4.418485e+00,7.541003e+00,7.015509e+00
4.257612e+07,-1.9674031,4.411858e+00,7.528555e+00,7.015929e+00
4.658358e+07,-1.9679241,4.405208e+00,7.516126e+00,7.016334e+00
5.080466e+07,-1.9684351,4.398538e+00,7.503735e+00,7.016725e+00
5.523644e+07,-1.9689381,4.391852e+00,7.491391e+00,7.017105e+00
5.987756e+07,-1.9694311,4.385150e+00,7.479097e+00,7.017475e+00
6.472780e+07,-1.9699161,4.378436e+00,7.466854e+00,7.017837e+00
6.978768e+07,-1.9703931,4.371712e+00,7.454664e+00,7.018195e+00
7.505926e+07,-1.9708621,4.364978e+00,7.442527e+00,7.018552e+00
8.054572e+07,-1.9713241,4.358236e+00,7.430442e+00,7.018906e+00
8.624972e+07,-1.9717771,4.351485e+00,7.418407e+00,7.019252e+00
9.217432e+07,-1.9722211,4.344727e+00,7.406423e+00,7.019586e+00
9.832274e+07,-1.9726561,4.337965e+00,7.394488e+00,7.019905e+00
1.046993e+08,-1.9730811,4.331197e+00,7.382603e+00,7.020208e+00
1.113087e+08,-1.9734971,4.324426e+00,7.370773e+00,7.020502e+00
1.181604e+08,-1.9739071,4.317649e+00,7.358996e+00,7.020795e+00
1.252623e+08,-1.9743081,4.310866e+00,7.347269e+00,7.021082e+00
1.326216e+08,-1.9747001,4.304076e+00,7.335591e+00,7.021361e+00
1.402452e+08,-1.9750831,4.297282e+00,7.323963e+00,7.021629e+00
1.481410e+08,-1.9754571,4.290481e+00,7.312384e+00,7.021882e+00
1.563164e+08,-1.9758231,4.283678e+00,7.300856e+00,7.022119e+00
1.647809e+08,-1.9761821,4.276878e+00,7.289381e+00,7.022343e+00
1.735479e+08,-1.9765341,4.270086e+00,7.277957e+00,7.022559e+00
1.826326e+08,-1.9768811,4.263305e+00,7.266581e+00,7.022767e+00
1.920483e+08,-1.9772241,4.256536e+00,7.255249e+00,7.022969e+00
2.018074e+08,-1.9775631,4.249771e+00,7.243963e+00,7.023166e+00
2.119185e+08,-1.9778991,4.243015e+00,7.232726e+00,7.023359e+00
2.223939e+08,-1.9782301,4.236262e+00,7.221538e+00,7.023547e+00
2.332404e+08,-1.9785571,4.229509e+00,7.210403e+00,7.023726e+00
2.444651e+08,-1.9788771,4.222757e+00,7.199329e+00,7.023899e+00
2.560804e+08,-1.9791931,4.216008e+00,7.188320e+00,7.024067e+00
2.680986e+08,-1.9795041,4.209269e+00,7.177377e+00,7.024232e+00
2.805356e+08,-1.9798111,4.202543e+00,7.166500e+00,7.024394e+00
2.934056e+08,-1.9801141,4.195835e+00,7.155688e+00,7.024553e+00
3.067204e+08,-1.9804141,4.189147e+00,7.144943e+00,7.024710e+00
3.204892e+08,-1.9807091,4.182483e+00,7.134269e+00,7.024862e+00
3.347179e+08,-1.9809991,4.175847e+00,7.123668e+00,7.025001e+00
3.494119e+08,-1.9812821,4.169243e+00,7.113148e+00,7.025130e+00
3.645785e+08,-1.9815601,4.162678e+00,7.102713e+00,7.025251e+00
3.802223e+08,-1.9818321,4.156155e+00,7.092365e+00,7.025366e+00
3.963453e+08,-1.9820971,4.149680e+00,7.082111e+00,7.025479e+00
4.129424e+08,-1.9823561,4.143261e+00,7.071958e+00,7.025590e+00
4.299932e+08,-1.9826091,4.136912e+00,7.061921e+00,7.025704e+00
4.474407e+08,-1.9828561,4.130656e+00,7.052036e+00,7.025824e+00
4.651391e+08,-1.9830971,4.124542e+00,7.042377e+00,7.025945e+00
4.827000e+08,-1.9833271,4.118689e+00,7.033129e+00,7.026063e+00
4.992002e+08,-1.9835361,4.113366e+00,7.024717e+00,7.026170e+00
5.138101e+08,-1.9837181,4.108784e+00,7.017474e+00,7.026262e+00
5.263196e+08,-1.9838701,4.104952e+00,7.011415e+00,7.026337e+00
5.376891e+08,-1.9840061,4.101542e+00,7.006020e+00,7.026402e+00
5.485429e+08,-1.9841341,4.098350e+00,7.000969e+00,7.026462e+00
5.591347e+08,-1.9842571,4.095293e+00,6.996130e+00,7.026518e+00
5.696440e+08,-1.9843761,4.092315e+00,6.991414e+00,7.026570e+00
5.801007e+08,-1.9844931,4.089404e+00,6.986803e+00,7.026618e+00
5.905735e+08,-1.9846071,4.086539e+00,6.982264e+00,7.026664e+00
6.012440e+08,-1.9847211,4.083671e+00,6.977717e+00,7.026706e+00
6.121837e+08,-1.9848341,4.080781e+00,6.973135e+00,7.026747e+00
6.232776e+08,-1.9849481,4.077902e+00,6.968568e+00,7.026787e+00
6.344213e+08,-1.9850591,4.075060e+00,6.964059e+00,7.026824e+00
6.457125e+08,-1.9851691,4.072230e+00,6.959567e+00,7.026860e+00
6.573811e+08,-1.9852801,4.069357e+00,6.955005e+00,7.026896e+00
6.696050e+08,-1.9853941,4.066401e+00,6.950310e+00,7.026932e+00
6.824287e+08,-1.9855091,4.063358e+00,6.945475e+00,7.026968e+00
6.957977e+08,-1.9856271,4.060245e+00,6.940527e+00,7.027004e+00
7.096211e+08,-1.9857451,4.057090e+00,6.935509e+00,7.027041e+00
7.238190e+08,-1.9858651,4.053913e+00,6.930453e+00,7.027078e+00
7.383392e+08,-1.9859851,4.050728e+00,6.925380e+00,7.027116e+00
7.530343e+08,-1.9861041,4.047568e+00,6.920344e+00,7.027154e+00
7.681434e+08,-1.9862241,4.044384e+00,6.915265e+00,7.027193e+00
7.836729e+08,-1.9863451,4.041176e+00,6.910146e+00,7.027233e+00
7.996916e+08,-1.9864671,4.037933e+00,6.904967e+00,7.027275e+00
8.162869e+08,-1.9865911,4.034643e+00,6.899708e+00,7.027320e+00
8.335299e+08,-1.9867161,4.031294e+00,6.894353e+00,7.027365e+00
8.514937e+08,-1.9868431,4.027879e+00,6.888888e+00,7.027413e+00
8.702453e+08,-1.9869711,4.024390e+00,6.883301e+00,7.027462e+00
8.898626e+08,-1.9871021,4.020819e+00,6.877580e+00,7.027513e+00
9.103515e+08,-1.9872341,4.017173e+00,6.871734e+00,7.027565e+00
9.317057e+08,-1.9873671,4.013458e+00,6.865775e+00,7.027617e+00
9.539736e+08,-1.9875011,4.009673e+00,6.859699e+00,7.027671e+00
9.771218e+08,-1.9876371,4.005830e+00,6.853526e+00,7.027724e+00
1.001142e+09,-1.9877721,4.001935e+00,6.847265e+00,7.027776e+00
1.026018e+09,-1.9879081,3.997997e+00,6.840931e+00,7.027828e+00
1.051736e+09,-1.9880431,3.994022e+00,6.834533e+00,7.027878e+00
1.078287e+09,-1.9881771,3.990017e+00,6.828081e+00,7.027926e+00
1.105665e+09,-1.9883111,3.985985e+00,6.821582e+00,7.027972e+00
1.133869e+09,-1.9884441,3.981934e+00,6.815045e+00,7.028019e+00
1.162908e+09,-1.9885781,3.977867e+00,6.808475e+00,7.028069e+00
1.192805e+09,-1.9887121,3.973783e+00,6.801871e+00,7.028121e+00
1.232805e+09,-1.9888851,3.968492e+00,6.793306e+00,7.028191e+00
1.292805e+09,-1.9891301,3.960912e+00,6.781014e+00,7.028292e+00
1.359738e+09,-1.9893861,3.952857e+00,6.767927e+00,7.028396e+00
1.430288e+09,-1.9896361,3.944763e+00,6.754759e+00,7.028492e+00
1.504550e+09,-1.9898781,3.936664e+00,6.742116e+00,7.028643e+00
1.583183e+09,-1.9900941,3.929247e+00,6.733558e+00,7.028725e+00
1.677331e+09,-1.9903031,3.921881e+00,6.721623e+00,7.028800e+00
1.789004e+09,-1.9905141,3.914277e+00,6.708674e+00,7.028860e+00
1.916098e+09,-1.9907291,3.906327e+00,6.695029e+00,7.028908e+00
2.052881e+09,-1.9909441,3.898288e+00,6.681277e+00,7.028962e+00
2.198465e+09,-1.9911631,3.890124e+00,6.667485e+00,7.029037e+00
2.349076e+09,-1.9913781,3.882153e+00,6.654175e+00,7.029128e+00
2.507173e+09,-1.9915911,3.874087e+00,6.640630e+00,7.029217e+00
2.669019e+09,-1.9917981,3.866042e+00,6.627153e+00,7.029290e+00
2.831411e+09,-1.9919971,3.858075e+00,6.613961e+00,7.029347e+00
2.990294e+09,-1.9921781,3.850856e+00,6.602063e+00,7.029395e+00
3.155681e+09,-1.9923741,3.843274e+00,6.589489e+00,7.029451e+00
3.310269e+09,-1.9925621,3.836288e+00,6.577955e+00,7.029508e+00
3.456229e+09,-1.9927361,3.830130e+00,6.567819e+00,7.029564e+00
3.601268e+09,-1.9929211,3.823874e+00,6.557486e+00,7.029625e+00
3.733783e+09,-1.9930801,3.818532e+00,6.548685e+00,7.029673e+00
3.870000e+09,-1.9932551,3.812751e+00,6.539153e+00,7.029724e+00
3.995869e+09,-1.9934111,3.807684e+00,6.530800e+00,7.029764e+00
4.123482e+09,-1.9935701,3.802700e+00,6.522565e+00,7.029801e+00
4.249045e+09,-1.9937261,3.797979e+00,6.514732e+00,7.029832e+00
4.373518e+09,-1.9938951,3.793019e+00,6.506505e+00,7.029862e+00
4.486845e+09,-1.9940421,3.788738e+00,6.499321e+00,7.029886e+00
4.604767e+09,-1.9941921,3.784389e+00,6.491953e+00,7.029909e+00
4.725061e+09,-1.9943411,3.780092e+00,6.484556e+00,7.029931e+00
4.848439e+09,-1.9944941,3.775854e+00,6.477069e+00,7.029951e+00
4.973439e+09,-1.9946481,3.771797e+00,6.469590e+00,7.029970e+00
5.160939e+09,-1.9948681,3.766345e+00,6.458956e+00,7.029996e+00
5.432389e+09,-1.9951741,3.759315e+00,6.443064e+00,7.030034e+00
5.721822e+09,-1.9954721,3.752845e+00,6.425868e+00,7.030074e+00
6.036632e+09,-1.9957741,3.746972e+00,6.406582e+00,7.030124e+00
6.373177e+09,-1.9960631,3.741803e+00,6.385716e+00,7.030175e+00
6.735238e+09,-1.9963641,3.736564e+00,6.361407e+00,7.030231e+00
7.090084e+09,-1.9966411,3.731576e+00,6.336414e+00,7.030282e+00
7.442878e+09,-1.9968951,3.726739e+00,6.310691e+00,7.030306e+00
7.793028e+09,-1.9971421,3.721819e+00,6.283064e+00,7.030315e+00
8.119503e+09,-1.9973681,3.717116e+00,6.255724e+00,7.030341e+00
8.429942e+09,-1.9975831,3.712355e+00,6.227998e+00,7.030374e+00
8.720488e+09,-1.9977791,3.707402e+00,6.200302e+00,7.030402e+00
