star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-2.3466171,5.172130e+00,8.214303e+00,8.664373e+00
5.000000e+04,-2.3511671,5.101176e+00,8.196269e+00,8.667948e+00
1.000000e+05,-2.3538211,5.054007e+00,8.182727e+00,8.670373e+00
1.500000e+05,-2.3555691,5.020556e+00,8.171779e+00,8.672171e+00
2.000000e+05,-2.3568121,4.996026e+00,8.162497e+00,8.673579e+00
2.500000e+05,-2.3577421,4.977597e+00,8.154370e+00,8.674724e+00
3.000000e+05,-2.3584631,4.963426e+00,8.147088e+00,8.675683e+00
3.500000e+05,-2.3590391,4.952261e+00,8.140455e+00,8.676502e+00
4.000000e+05,-2.3595081,4.943329e+00,8.134335e+00,8.677215e+00
4.500000e+05,-2.3598991,4.936081e+00,8.128632e+00,8.677844e+00
5.000000e+05,-2.3602291,4.930137e+00,8.123277e+00,8.678403e+00
5.750000e+05,-2.3606281,4.923237e+00,8.115879e+00,8.679125e+00
6.798675e+05,-2.3610611,4.916185e+00,8.106500e+00,8.679970e+00
8.139571e+05,-2.3614841,4.909789e+00,8.095706e+00,8.680860e+00
9.875700e+05,-2.3619001,4.904081e+00,8.083247e+00,8.681809e+00
1.213987e+06,-2.3623151,4.899033e+00,8.068924e+00,8.682834e+00
1.508973e+06,-2.3627371,4.894562e+00,8.052675e+00,8.683958e+00
1.888367e+06,-2.3631771,4.890514e+00,8.034690e+00,8.685202e+00
2.364420e+06,-2.3636351,4.886674e+00,8.015438e+00,8.686542e+00
2.943214e+06,-2.3641081,4.882855e+00,7.995571e+00,8.687946e+00
3.624375e+06,-2.3645851,4.878899e+00,7.975726e+00,8.689356e+00
4.404910e+06,-2.3650541,4.874732e+00,7.956332e+00,8.690712e+00
5.279622e+06,-2.3655071,4.870306e+00,7.937651e+00,8.691971e+00
6.245196e+06,-2.3659391,4.865627e+00,7.919765e+00,8.693121e+00
7.298897e+06,-2.3663591,4.860716e+00,7.902681e+00,8.694197e+00
8.440822e+06,-2.3667751,4.855605e+00,7.886322e+00,8.695236e+00
9.670987e+06,-2.3671901,4.850292e+00,7.870603e+00,8.696267e+00
1.099063e+07,-2.3676171,4.844817e+00,7.855441e+00,8.697346e+00
1.240242e+07,-2.3680591,4.839186e+00,7.840731e+00,8.698477e+00
1.390594e+07,-2.3685011,4.833399e+00,7.826384e+00,8.699608e+00
1.549590e+07,-2.3689291,4.827472e+00,7.812358e+00,8.700684e+00
1.716614e+07,-2.3693311,4.821425e+00,7.798621e+00,8.701663e+00
1.891084e+07,-2.3697031,4.815282e+00,7.785152e+00,8.702528e+00
2.072668e+07,-2.3700561,4.809078e+00,7.771945e+00,8.703324e+00
2.261690e+07,-2.3703991,4.802822e+00,7.758952e+00,8.704089e+00
2.458451e+07,-2.3707331,4.796479e+00,7.746127e+00,8.704825e+00
2.662963e+07,-2.3710591,4.790128e+00,7.733447e+00,8.705536e+00
2.875342e+07,-2.3713761,4.783736e+00,7.720890e+00,8.706221e+00
3.095516e+07,-2.3716821,4.777270e+00,7.708443e+00,8.706874e+00
3.323397e+07,-2.3719791,4.770835e+00,7.696104e+00,8.707497e+00
3.559403e+07,-2.3722641,4.764332e+00,7.683846e+00,8.708085e+00
3.803244e+07,-2.3725411,4.757834e+00,7.671685e+00,8.708643e+00
4.055398e+07,-2.3728101,4.751339e+00,7.659602e+00,8.709180e+00
4.316081e+07,-2.3730731,4.744853e+00,7.647590e+00,8.709705e+00
4.585573e+07,-2.3733341,4.738383e+00,7.635645e+00,8.710230e+00
4.864259e+07,-2.3735951,4.731928e+00,7.623753e+00,8.710760e+00
5.152407e+07,-2.3738481,4.725446e+00,7.611898e+00,8.711272e+00
5.449614e+07,-2.3740921,4.719027e+00,7.600100e+00,8.711759e+00
5.756580e+07,-2.3743291,4.712568e+00,7.588339e+00,8.712225e+00
6.072723e+07,-2.3745571,4.706180e+00,7.576644e+00,8.712673e+00
6.399227e+07,-2.3747791,4.699794e+00,7.564976e+00,8.713104e+00
6.735748e+07,-2.3749951,4.693432e+00,7.553355e+00,8.713523e+00
7.082713e+07,-2.3752071,4.687100e+00,7.541771e+00,8.713932e+00
7.440511e+07,-2.3754111,4.680778e+00,7.530213e+00,8.714321e+00
7.808921e+07,-2.3756101,4.674480e+00,7.518698e+00,8.714693e+00
8.188360e+07,-2.3758041,4.668196e+00,7.507218e+00,8.715054e+00
8.579015e+07,-2.3759951,4.661925e+00,7.495777e+00,8.715408e+00
8.981130e+07,-2.3761841,4.655665e+00,7.484374e+00,8.715758e+00
9.394987e+07,-2.3763701,4.649412e+00,7.473007e+00,8.716105e+00
9.820732e+07,-2.3765511,4.643164e+00,7.461673e+00,8.716444e+00
1.025839e+08,-2.3767261,4.636923e+00,7.450376e+00,8.716768e+00
1.070802e+08,-2.3768941,4.630687e+00,7.439118e+00,8.717069e+00
1.116971e+08,-2.3770551,4.624462e+00,7.427904e+00,8.717352e+00
1.164381e+08,-2.3772111,4.618247e+00,7.416732e+00,8.717622e+00
1.213065e+08,-2.3773631,4.612043e+00,7.405601e+00,8.717884e+00
1.263060e+08,-2.3775131,4.605850e+00,7.394507e+00,8.718145e+00
1.314405e+08,-2.3776621,4.599667e+00,7.383444e+00,8.718406e+00
1.367121e+08,-2.3778091,4.593490e+00,7.372411e+00,8.718666e+00
1.421208e+08,-2.3779551,4.587323e+00,7.361413e+00,8.718939e+00
1.476715e+08,-2.3781001,4.581159e+00,7.350445e+00,8.719220e+00
1.533645e+08,-2.3782431,4.574999e+00,7.339506e+00,8.719500e+00
1.593645e+08,-2.3783851,4.568672e+00,7.328298e+00,8.719780e+00
1.683645e+08,-2.3785821,4.559526e+00,7.312147e+00,8.720158e+00
1.807520e+08,-2.3788221,4.548235e+00,7.298719e+00,8.720662e+00
1.951598e+08,-2.3790721,4.537485e+00,7.281762e+00,8.721183e+00
2.127699e+08,-2.3793321,4.526546e+00,7.261841e+00,8.721730e+00
2.329845e+08,-2.3795871,4.515438e+00,7.241035e+00,8.722259e+00
2.552637e+08,-2.3798221,4.504322e+00,7.220414e+00,8.722736e+00
2.775430e+08,-2.3800221,4.493808e+00,7.200999e+00,8.723116e+00
3.030337e+08,-2.3802511,4.482083e+00,7.179525e+00,8.723586e+00
3.290790e+08,-2.3804881,4.470756e+00,7.159125e+00,8.724107e+00
3.566519e+08,-2.3807201,4.459074e+00,7.138196e+00,8.724590e+00
3.848004e+08,-2.3809151,4.447443e+00,7.117538e+00,8.724938e+00
4.135761e+08,-2.3810711,4.435725e+00,7.096891e+00,8.725143e+00
4.426680e+08,-2.3811961,4.424009e+00,7.076404e+00,8.725249e+00
4.719860e+08,-2.3813251,4.412852e+00,7.057005e+00,8.725399e+00
5.029371e+08,-2.3814761,4.401003e+00,7.036435e+00,8.725607e+00
5.335158e+08,-2.3816151,4.389907e+00,7.017244e+00,8.725790e+00
5.656830e+08,-2.3817451,4.378613e+00,6.997759e+00,8.725950e+00
5.987625e+08,-2.3818751,4.366864e+00,6.977580e+00,8.726115e+00
6.313100e+08,-2.3819881,4.355819e+00,6.958630e+00,8.726254e+00
6.652432e+08,-2.3820971,4.344602e+00,6.939494e+00,8.726380e+00
7.000138e+08,-2.3822031,4.333523e+00,6.920557e+00,8.726501e+00
7.357809e+08,-2.3823151,4.321854e+00,6.900792e+00,8.726636e+00
7.706834e+08,-2.3824121,4.310894e+00,6.882208e+00,8.726734e+00
8.067827e+08,-2.3824941,4.299248e+00,6.862668e+00,8.726770e+00
8.418528e+08,-2.3825611,4.288339e+00,6.844334e+00,8.726777e+00
8.780479e+08,-2.3826271,4.277827e+00,6.826695e+00,8.726805e+00
9.167779e+08,-2.3827171,4.266291e+00,6.807447e+00,8.726906e+00
9.541747e+08,-2.3828161,4.255514e+00,6.789430e+00,8.727059e+00
9.927018e+08,-2.3829191,4.244622e+00,6.771266e+00,8.727228e+00
1.031766e+09,-2.3830171,4.233308e+00,6.752559e+00,8.727378e+00
1.069754e+09,-2.3830871,4.223001e+00,6.735426e+00,8.727452e+00
1.110118e+09,-2.3831491,4.212228e+00,6.717502e+00,8.727498e+00
1.150514e+09,-2.3832091,4.201122e+00,6.699283e+00,8.727534e+00
1.189694e+09,-2.3832631,4.190612e+00,6.681962e+00,8.727565e+00
1.229190e+09,-2.3833171,4.180166e+00,6.664786e+00,8.727598e+00
1.267878e+09,-2.3833681,4.170020e+00,6.648230e+00,8.727625e+00
1.298680e+09,-2.3834031,4.162345e+00,6.635461e+00,8.727633e+00
1.327378e+09,-2.3834351,4.154871e+00,6.623345e+00,8.727631e+00
1.352210e+09,-2.3834611,4.148577e+00,6.613020e+00,8.727628e+00
1.376362e+09,-2.3834881,4.142205e+00,6.602746e+00,8.727626e+00
1.399172e+09,-2.3835131,4.136612e+00,6.593451e+00,8.727628e+00
1.422782e+09,-2.3835411,4.130773e+00,6.583912e+00,8.727635e+00
1.446434e+09,-2.3835701,4.124957e+00,6.574411e+00,8.727648e+00
1.470956e+09,-2.3836001,4.118708e+00,6.564338e+00,8.727658e+00
1.494920e+09,-2.3836281,4.112961e+00,6.554818e+00,8.727666e+00
1.520030e+09,-2.3836561,4.106908e+00,6.544921e+00,8.727671e+00
1.544906e+09,-2.3836851,4.100541e+00,6.534723e+00,8.727676e+00
1.568620e+09,-2.3837101,4.094854e+00,6.525287e+00,8.727680e+00
1.594246e+09,-2.3837371,4.088491e+00,6.514952e+00,8.727685e+00
1.619868e+09,-2.3837631,4.082466e+00,6.504944e+00,8.727692e+00
1.647650e+09,-2.3837921,4.075711e+00,6.493939e+00,8.727703e+00
1.675392e+09,-2.3838211,4.069078e+00,6.483027e+00,8.727720e+00
1.704112e+09,-2.3838521,4.062282e+00,6.471837e+00,8.727743e+00
1.733516e+09,-2.3838831,4.055394e+00,6.460490e+00,8.727768e+00
1.763484e+09,-2.3839131,4.048697e+00,6.449353e+00,8.727793e+00
1.795024e+09,-2.3839441,4.041405e+00,6.437428e+00,8.727816e+00
1.825834e+09,-2.3839721,4.034381e+00,6.425847e+00,8.727832e+00
1.857220e+09,-2.3839981,4.027280e+00,6.414132e+00,8.727840e+00
1.889084e+09,-2.3840211,4.020128e+00,6.402329e+00,8.727844e+00
1.921472e+09,-2.3840441,4.012919e+00,6.390428e+00,8.727847e+00
1.954424e+09,-2.3840661,4.005648e+00,6.378420e+00,8.727848e+00
1.987958e+09,-2.3840881,3.998312e+00,6.366301e+00,8.727849e+00
2.022082e+09,-2.3841091,3.990907e+00,6.354063e+00,8.727851e+00
2.056720e+09,-2.3841311,3.983446e+00,6.341725e+00,8.727855e+00
2.091808e+09,-2.3841501,3.976309e+00,6.329824e+00,8.727858e+00
2.129018e+09,-2.3841701,3.968362e+00,6.316765e+00,8.727859e+00
2.164672e+09,-2.3841881,3.960836e+00,6.304311e+00,8.727858e+00
2.200638e+09,-2.3842051,3.953304e+00,6.291836e+00,8.727857e+00
2.236816e+09,-2.3842221,3.945784e+00,6.279373e+00,8.727855e+00
2.273094e+09,-2.3842401,3.938293e+00,6.266950e+00,8.727856e+00
2.309352e+09,-2.3842581,3.930845e+00,6.254593e+00,8.727859e+00
2.345440e+09,-2.3842761,3.923467e+00,6.242359e+00,8.727861e+00
2.381208e+09,-2.3842931,3.916193e+00,6.230305e+00,8.727861e+00
2.416530e+09,-2.3843091,3.909049e+00,6.218477e+00,8.727861e+00
2.451176e+09,-2.3843261,3.902078e+00,6.206948e+00,8.727861e+00
2.485004e+09,-2.3843421,3.895307e+00,6.195760e+00,8.727862e+00
2.517892e+09,-2.3843581,3.888751e+00,6.184936e+00,8.727863e+00
2.549692e+09,-2.3843721,3.883107e+00,6.175523e+00,8.727864e+00
2.584312e+09,-2.3843901,3.876224e+00,6.164265e+00,8.727866e+00
2.614534e+09,-2.3844051,3.870280e+00,6.154451e+00,8.727867e+00
2.644284e+09,-2.3844201,3.864480e+00,6.144839e+00,8.727868e+00
2.673366e+09,-2.3844351,3.858874e+00,6.135489e+00,8.727869e+00
2.701596e+09,-2.3844501,3.853525e+00,6.126451e+00,8.727870e+00
2.728960e+09,-2.3844651,3.848475e+00,6.117717e+00,8.727871e+00
2.755618e+09,-2.3844801,3.843743e+00,6.109215e+00,8.727872e+00
2.781870e+09,-2.3844941,3.839335e+00,6.100826e+00,8.727873e+00
2.808194e+09,-2.3845081,3.835244e+00,6.092367e+00,8.727873e+00
2.835036e+09,-2.3845211,3.831500e+00,6.083662e+00,8.727874e+00
2.862824e+09,-2.3845341,3.827951e+00,6.074536e+00,8.727874e+00
2.891336e+09,-2.3845461,3.824521e+00,6.065031e+00,8.727874e+00
2.920138e+09,-2.3845571,3.821250e+00,6.055263e+00,8.727873e+00
2.948966e+09,-2.3845691,3.818153e+00,6.045292e+00,8.727873e+00
2.977666e+09,-2.3845801,3.815209e+00,6.035143e+00,8.727873e+00
