star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
5.53103478e+02,5.59999963,-5.84401819e-10,3.58967515,1.86436736,-1.34509847,6.38455367e-01,5.25064653e-05,5.79663886,-3.83691012,-1,-1.0
5.77859488e+02,5.59999961,-5.77622016e-10,3.59136440,1.86213202,-1.34509847,6.38455367e-01,5.25064653e-05,5.79864686,-3.83086117,-1,-0.9999703060966004
6.03710306e+02,5.59999960,-5.75922866e-10,3.59203913,1.85994675,-1.34509847,6.38455367e-01,5.25064653e-05,5.80072324,-3.82460576,-1,-0.9999392990121595
6.30742129e+02,5.59999958,-5.70984005e-10,3.59235780,1.85773159,-1.34509847,6.38455367e-01,5.25064653e-05,5.80286965,-3.81813645,-1,-0.9999068753566157
6.59015622e+02,5.59999957,-5.63937795e-10,3.59267242,1.85544538,-1.34509847,6.38455367e-01,5.25064653e-05,5.80508525,-3.81145658,-1,-0.9998729623645822
6.88542731e+02,5.59999955,-5.56841486e-10,3.59299420,1.85308936,-1.34509847,6.38455367e-01,5.25064653e-05,5.80736853,-3.80457177,-1,-0.9998375457072811
7.19378270e+02,5.59999953,-5.49436687e-10,3.59332186,1.85066221,-1.34509847,6.38455367e-01,5.25064653e-05,5.80972087,-3.79747802,-1,-0.9998005596373797
7.51583417e+02,5.59999952,-5.41805565e-10,3.59366819,1.84816192,-1.34509847,6.38455367e-01,5.25064653e-05,5.81214399,-3.79016952,-1,-0.9997619307741669
7.85218888e+02,5.59999950,-5.34053762e-10,3.59402435,1.84558743,-1.34509847,6.38455367e-01,5.25064653e-05,5.81463913,-3.78264324,-1,-0.9997215862910828
8.20349666e+02,5.59999948,-5.26160171e-10,3.59442145,1.84293621,-1.34509847,6.38455367e-01,5.25064653e-05,5.81720816,-3.77489265,-1,-0.9996794482434619
8.57032632e+02,5.59999946,-5.18309813e-10,3.59481446,1.84020887,-1.34509847,6.38455367e-01,5.25064653e-05,5.81985121,-3.76691722,-1,-0.9996354484046828
8.95328045e+02,5.59999944,-5.10247074e-10,3.59520206,1.83740542,-1.34509847,6.38455367e-01,5.25064653e-05,5.82256842,-3.75871613,-1,-0.9995895144963401
9.35297855e+02,5.59999942,-5.02032951e-10,3.59560270,1.83452455,-1.34509847,6.38455367e-01,5.25064653e-05,5.82536083,-3.75028682,-1,-0.9995415722117378
9.77152854e+02,5.59999940,-4.93721140e-10,3.59600221,1.83156003,-1.34509847,6.38455367e-01,5.25064653e-05,5.82823469,-3.74161175,-1,-0.9994913687137955
1.02090468e+03,5.59999938,-4.85288667e-10,3.59642987,1.82851336,-1.34509847,6.38455367e-01,5.25064653e-05,5.83118804,-3.73269331,-1,-0.9994388900431697
1.06654776e+03,5.59999936,-4.76838031e-10,3.59689112,1.82538701,-1.34509847,6.38455367e-01,5.25064653e-05,5.83421849,-3.72354408,-1,-0.9993841428844644
1.11413530e+03,5.59999934,-4.68493042e-10,3.59735478,1.82218175,-1.34509847,6.38455367e-01,5.25064653e-05,5.83732598,-3.71416131,-1,-0.9993270634190827
1.16383346e+03,5.59999931,-4.59888505e-10,3.59779129,1.81889589,-1.34509847,6.38455367e-01,5.25064653e-05,5.84051265,-3.70453771,-1,-0.9992674523443508
1.21589634e+03,5.59999929,-4.51161001e-10,3.59824929,1.81552178,-1.34509847,6.38455367e-01,5.25064653e-05,5.84378539,-3.69465729,-1,-0.9992050048768703
1.27011150e+03,5.59999927,-4.42427858e-10,3.59870708,1.81207138,-1.34509847,6.38455367e-01,5.25064653e-05,5.84713287,-3.68454995,-1,-0.9991399758304353
1.32677112e+03,5.59999924,-4.33663982e-10,3.59925634,1.80853311,-1.34509847,6.38455367e-01,5.25064653e-05,5.85056488,-3.67418832,-1,-0.9990720147461194
1.38600699e+03,5.59999922,-4.25104881e-10,3.59974220,1.80491134,-1.34509847,6.38455367e-01,5.25064653e-05,5.85407961,-3.66357623,-1,-0.9990009635467715
1.44767489e+03,5.59999919,-4.16258119e-10,3.60023269,1.80121294,-1.34509847,6.38455367e-01,5.25064653e-05,5.85766974,-3.65273900,-1,-0.9989269952188602
1.51233192e+03,5.59999916,-4.07456927e-10,3.60077034,1.79742210,-1.34509847,6.38455367e-01,5.25064653e-05,5.86134965,-3.64163085,-1,-0.9988494415418774
1.57958814e+03,5.59999914,-3.98662519e-10,3.60128990,1.79355657,-1.34509847,6.38455367e-01,5.25064653e-05,5.86510295,-3.63030058,-1,-0.998768770234195
1.65006526e+03,5.59999911,-3.89942456e-10,3.60187138,1.78959845,-1.34509847,6.38455367e-01,5.25064653e-05,5.86894609,-3.61869753,-1,-0.9986842355780383
1.72347796e+03,5.59999908,-3.81175661e-10,3.60241632,1.78556359,-1.34509847,6.38455367e-01,5.25064653e-05,5.87286506,-3.60686624,-1,-0.9985961798040222
1.80016700e+03,5.59999905,-3.72407529e-10,3.60297933,1.78144482,-1.34509847,6.38455367e-01,5.25064653e-05,5.87686622,-3.59478755,-1,-0.9985041941833359
1.88033136e+03,5.59999902,-3.63724128e-10,3.60358892,1.77723933,-1.34509847,6.38455367e-01,5.25064653e-05,5.88095140,-3.58245110,-1,-0.9984080400469493
1.96387617e+03,5.59999899,-3.55068979e-10,3.60417695,1.77295608,-1.34509847,6.38455367e-01,5.25064653e-05,5.88511326,-3.56988124,-1,-0.998307831187861
2.05114149e+03,5.59999896,-3.46408298e-10,3.60475572,1.76859130,-1.34509847,6.38455367e-01,5.25064653e-05,5.88935502,-3.55707112,-1,-0.9982031597168844
2.14238128e+03,5.59999893,-3.37788170e-10,3.60539762,1.76414071,-1.34509847,6.38455367e-01,5.25064653e-05,5.89368004,-3.54400747,-1,-0.9980937210185459
2.23755268e+03,5.59999890,-3.29398310e-10,3.60603949,1.75961056,-1.34509847,6.38455367e-01,5.25064653e-05,5.89808335,-3.53070747,-1,-0.9979795665018042
