star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
4.29944262e+02,2.17999986,-3.72220240e-10,3.70194431,1.51362710,-4.84509847,7.50949395e-01,4.13306749e-05,5.71303416,-3.20897181,-1,-1.0
4.50436520e+02,2.17999985,-3.67047176e-10,3.70218071,1.51090538,-4.84509847,7.50949395e-01,4.13306749e-05,5.71566732,-3.20109173,-1,-0.9999916397938016
4.71823003e+02,2.17999984,-3.61601851e-10,3.70242310,1.50811170,-4.84509847,7.50949395e-01,4.13306749e-05,5.71837023,-3.19300157,-1,-0.9999829147715156
4.94180609e+02,2.17999984,-3.55703157e-10,3.70267186,1.50524098,-4.84509847,7.50949395e-01,4.13306749e-05,5.72114749,-3.18468768,-1,-0.9999737935611411
5.17657558e+02,2.17999983,-3.49497252e-10,3.70292782,1.50228348,-4.84509847,7.50949395e-01,4.13306749e-05,5.72400918,-3.17612404,-1,-0.9999642156935117
5.42265235e+02,2.17999982,-3.43132139e-10,3.70319083,1.49924110,-4.84509847,7.50949395e-01,4.13306749e-05,5.72695294,-3.16731218,-1,-0.9999541765239002
5.67997644e+02,2.17999981,-3.36672611e-10,3.70346057,1.49611734,-4.84509847,7.50949395e-01,4.13306749e-05,5.72997583,-3.15826469,-1,-0.9999436784984886
5.94894077e+02,2.17999980,-3.30147578e-10,3.70373720,1.49291251,-4.84509847,7.50949395e-01,4.13306749e-05,5.73307729,-3.14898144,-1,-0.9999327055873588
6.23073314e+02,2.17999979,-3.23543539e-10,3.70402072,1.48962130,-4.84509847,7.50949395e-01,4.13306749e-05,5.73626260,-3.13944590,-1,-0.9999212093319517
6.52660245e+02,2.17999978,-3.16924798e-10,3.70431241,1.48623963,-4.84509847,7.50949395e-01,4.13306749e-05,5.73953606,-3.12964490,-1,-0.9999091387810178
6.83544402e+02,2.17999977,-3.10304624e-10,3.70461086,1.48277804,-4.84509847,7.50949395e-01,4.13306749e-05,5.74288737,-3.11960993,-1,-0.9998965390020775
7.15918018e+02,2.17999976,-3.03646447e-10,3.70491564,1.47922832,-4.84509847,7.50949395e-01,4.13306749e-05,5.74632446,-3.10931633,-1,-0.9998833315700244
7.49839188e+02,2.17999975,-2.96967284e-10,3.70522760,1.47559105,-4.84509847,7.50949395e-01,4.13306749e-05,5.74984726,-3.09876722,-1,-0.9998694927838987
7.85266974e+02,2.17999974,-2.90279647e-10,3.70554622,1.47187209,-4.84509847,7.50949395e-01,4.13306749e-05,5.75344939,-3.08797846,-1,-0.9998550393451359
8.22478156e+02,2.17999973,-2.83591002e-10,3.70587232,1.46806081,-4.84509847,7.50949395e-01,4.13306749e-05,5.75714153,-3.07692223,-1,-0.9998398583360734
