star_age,log_Teff,log_R,log_center_T,log_center_Rho
1.023e+06,2.9242,-0.7515,4.684,0.130
1.660e+06,2.8850,-0.7742,4.673,0.168
2.710e+06,2.8449,-0.7959,4.658,0.205
4.315e+06,2.8005,-0.8155,4.641,0.239
6.982e+06,2.7603,-0.8338,4.620,0.272
1.138e+07,2.7122,-0.8508,4.595,0.303
1.845e+07,2.6581,-0.8661,4.567,0.331
3.020e+07,2.5994,-0.8801,4.536,0.356
4.875e+07,2.5410,-0.8916,4.505,0.377
7.925e+07,2.4829,-0.9024,4.474,0.394
1.265e+08,2.4280,-0.9115,4.442,0.410
2.080e+08,2.3727,-0.9213,4.406,0.427
3.357e+08,2.3201,-0.9297,4.367,0.443
5.483e+08,2.2667,-0.9388,4.326,0.459
8.913e+08,2.2146,-0.9470,4.283,0.474
1.429e+09,2.1623,-0.9554,4.236,0.488
2.307e+09,2.1075,-0.9628,4.185,0.502
3.724e+09,2.0508,-0.9703,4.132,0.517
5.998e+09,1.9952,-0.9773,4.076,0.532
9.594e+09,1.9365,-0.9839,4.016,0.547
