star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.5886151,4.993236e+00,7.983297e+00,6.375422e+00
6.000000e+04,-1.6210771,4.968319e+00,7.973750e+00,6.391056e+00
1.200000e+05,-1.6437451,4.949663e+00,7.964133e+00,6.404174e+00
1.800000e+05,-1.6613891,4.933823e+00,7.954682e+00,6.415353e+00
2.400000e+05,-1.6758691,4.919606e+00,7.945546e+00,6.424980e+00
3.000000e+05,-1.6881321,4.906541e+00,7.936819e+00,6.433386e+00
3.558440e+05,-1.6980741,4.895121e+00,7.929068e+00,6.440308e+00
4.182830e+05,-1.7077881,4.883132e+00,7.920882e+00,6.447124e+00
4.869050e+05,-1.7171071,4.870723e+00,7.912440e+00,6.453663e+00
5.608238e+05,-1.7258751,4.858098e+00,7.903948e+00,6.459776e+00
6.388374e+05,-1.7339841,4.845495e+00,7.895613e+00,6.465379e+00
7.202453e+05,-1.7414421,4.833075e+00,7.887558e+00,6.470501e+00
8.051433e+05,-1.7483241,4.820840e+00,7.879788e+00,6.475194e+00
8.936430e+05,-1.7546911,4.808780e+00,7.872296e+00,6.479495e+00
9.858770e+05,-1.7605841,4.796925e+00,7.865070e+00,6.483438e+00
1.082285e+06,-1.7660481,4.785317e+00,7.858081e+00,6.487066e+00
1.183709e+06,-1.7711591,4.773888e+00,7.851281e+00,6.490435e+00
1.290718e+06,-1.7759951,4.762494e+00,7.844658e+00,6.493588e+00
1.403171e+06,-1.7805621,4.751145e+00,7.838228e+00,6.496530e+00
1.521186e+06,-1.7848831,4.739796e+00,7.831989e+00,6.499269e+00
1.644698e+06,-1.7889521,4.728547e+00,7.825946e+00,6.501817e+00
1.774588e+06,-1.7928071,4.717360e+00,7.820062e+00,6.504198e+00
1.911421e+06,-1.7964681,4.706234e+00,7.814319e+00,6.506433e+00
2.055852e+06,-1.7999541,4.695183e+00,7.808702e+00,6.508538e+00
2.208742e+06,-1.8032941,4.684095e+00,7.803189e+00,6.510526e+00
2.369844e+06,-1.8064631,4.673148e+00,7.797798e+00,6.512397e+00
2.540952e+06,-1.8095011,4.662226e+00,7.792480e+00,6.514172e+00
2.722434e+06,-1.8124161,4.651308e+00,7.787239e+00,6.515857e+00
2.914558e+06,-1.8151951,4.640561e+00,7.782079e+00,6.517456e+00
3.119845e+06,-1.8178701,4.629924e+00,7.776949e+00,6.518989e+00
3.339762e+06,-1.8204561,4.619344e+00,7.771831e+00,6.520463e+00
3.574923e+06,-1.8229551,4.608781e+00,7.766731e+00,6.521875e+00
3.825494e+06,-1.8253611,4.598216e+00,7.761659e+00,6.523223e+00
4.091795e+06,-1.8276611,4.587770e+00,7.756618e+00,6.524506e+00
4.376530e+06,-1.8298661,4.577421e+00,7.751572e+00,6.525735e+00
4.681844e+06,-1.8319841,4.567152e+00,7.746499e+00,6.526914e+00
5.009555e+06,-1.8340181,4.556956e+00,7.741387e+00,6.528046e+00
5.361567e+06,-1.8359661,4.546902e+00,7.736224e+00,6.529133e+00
5.741443e+06,-1.8378421,4.536887e+00,7.730979e+00,6.530181e+00
6.150385e+06,-1.8396391,4.527042e+00,7.725656e+00,6.531189e+00
6.593279e+06,-1.8413711,4.517257e+00,7.720213e+00,6.532162e+00
7.071865e+06,-1.8430361,4.507522e+00,7.714655e+00,6.533100e+00
7.588440e+06,-1.8446271,4.497996e+00,7.708975e+00,6.534004e+00
8.150829e+06,-1.8461661,4.488459e+00,7.703117e+00,6.534881e+00
8.758917e+06,-1.8476341,4.479168e+00,7.697107e+00,6.535727e+00
9.423751e+06,-1.8490581,4.469858e+00,7.690871e+00,6.536554e+00
1.014477e+07,-1.8504151,4.460826e+00,7.684445e+00,6.537352e+00
1.093676e+07,-1.8517341,4.451771e+00,7.677738e+00,6.538132e+00
1.179860e+07,-1.8529931,4.442924e+00,7.670800e+00,6.538884e+00
1.274473e+07,-1.8542061,4.434223e+00,7.663563e+00,6.539617e+00
1.378496e+07,-1.8553741,4.425687e+00,7.656009e+00,6.540332e+00
1.493117e+07,-1.8564971,4.417316e+00,7.648116e+00,6.541031e+00
1.619602e+07,-1.8575811,4.409112e+00,7.639866e+00,6.541717e+00
1.759337e+07,-1.8586271,4.401072e+00,7.631248e+00,6.542393e+00
1.913782e+07,-1.8596401,4.393137e+00,7.622255e+00,6.543062e+00
2.083983e+07,-1.8606171,4.385399e+00,7.612915e+00,6.543728e+00
2.272316e+07,-1.8615621,4.377814e+00,7.603192e+00,6.544392e+00
2.480483e+07,-1.8624791,4.370351e+00,7.593099e+00,6.545049e+00
2.709902e+07,-1.8633651,4.363049e+00,7.582662e+00,6.545698e+00
2.962723e+07,-1.8642251,4.355835e+00,7.571881e+00,6.546334e+00
3.239745e+07,-1.8650591,4.348700e+00,7.560805e+00,6.546952e+00
3.541935e+07,-1.8658681,4.341633e+00,7.549474e+00,6.547549e+00
3.870230e+07,-1.8666551,4.334630e+00,7.537922e+00,6.548125e+00
4.225565e+07,-1.8674221,4.327675e+00,7.526179e+00,6.548683e+00
4.608611e+07,-1.8681701,4.320758e+00,7.514276e+00,6.549224e+00
5.019835e+07,-1.8689021,4.313871e+00,7.502244e+00,6.549750e+00
5.459502e+07,-1.8696171,4.307005e+00,7.490110e+00,6.550261e+00
5.927658e+07,-1.8703151,4.300153e+00,7.477899e+00,6.550757e+00
6.424163e+07,-1.8709981,4.293315e+00,7.465634e+00,6.551241e+00
6.948935e+07,-1.8716651,4.286487e+00,7.453335e+00,6.551715e+00
7.501830e+07,-1.8723171,4.279666e+00,7.441020e+00,6.552176e+00
8.082714e+07,-1.8729541,4.272855e+00,7.428704e+00,6.552625e+00
8.691548e+07,-1.8735771,4.266044e+00,7.416395e+00,6.553062e+00
9.328057e+07,-1.8741861,4.259244e+00,7.404106e+00,6.553486e+00
9.992440e+07,-1.8747811,4.252445e+00,7.391839e+00,6.553898e+00
1.068447e+08,-1.8753621,4.245650e+00,7.379603e+00,6.554295e+00
1.140413e+08,-1.8759311,4.238861e+00,7.367408e+00,6.554686e+00
1.215166e+08,-1.8764861,4.232077e+00,7.355260e+00,6.555069e+00
1.292728e+08,-1.8770291,4.225298e+00,7.343159e+00,6.555442e+00
1.373121e+08,-1.8775591,4.218530e+00,7.331110e+00,6.555802e+00
1.456383e+08,-1.8780771,4.211775e+00,7.319113e+00,6.556147e+00
1.542558e+08,-1.8785851,4.205050e+00,7.307169e+00,6.556475e+00
1.631741e+08,-1.8790841,4.198350e+00,7.295271e+00,6.556786e+00
1.723956e+08,-1.8795761,4.191689e+00,7.283428e+00,6.557080e+00
1.819295e+08,-1.8800611,4.185049e+00,7.271638e+00,6.557362e+00
1.917724e+08,-1.8805391,4.178446e+00,7.259913e+00,6.557632e+00
2.019327e+08,-1.8810111,4.171871e+00,7.248252e+00,6.557893e+00
2.124097e+08,-1.8814771,4.165320e+00,7.236663e+00,6.558146e+00
2.231993e+08,-1.8819331,4.158793e+00,7.225157e+00,6.558393e+00
2.342980e+08,-1.8823801,4.152287e+00,7.213742e+00,6.558631e+00
2.456987e+08,-1.8828161,4.145813e+00,7.202432e+00,6.558853e+00
2.574030e+08,-1.8832421,4.139377e+00,7.191233e+00,6.559064e+00
2.694140e+08,-1.8836591,4.132985e+00,7.180147e+00,6.559265e+00
2.817309e+08,-1.8840671,4.126639e+00,7.169180e+00,6.559461e+00
2.943430e+08,-1.8844661,4.120347e+00,7.158344e+00,6.559654e+00
3.072176e+08,-1.8848571,4.114126e+00,7.147668e+00,6.559846e+00
3.202722e+08,-1.8852361,4.108013e+00,7.137213e+00,6.560036e+00
3.333101e+08,-1.8855991,4.102090e+00,7.127119e+00,6.560220e+00
3.458455e+08,-1.8859371,4.096554e+00,7.117716e+00,6.560390e+00
3.557503e+08,-1.8861991,4.092275e+00,7.110467e+00,6.560519e+00
3.650887e+08,-1.8864411,4.088322e+00,7.103786e+00,6.560637e+00
3.734697e+08,-1.8866551,4.084838e+00,7.097909e+00,6.560738e+00
3.813125e+08,-1.8868521,4.081632e+00,7.092509e+00,6.560830e+00
3.888152e+08,-1.8870381,4.078613e+00,7.087433e+00,6.560915e+00
3.961311e+08,-1.8872171,4.075714e+00,7.082565e+00,6.560995e+00
4.033846e+08,-1.8873911,4.072881e+00,7.077817e+00,6.561071e+00
4.106118e+08,-1.8875621,4.070099e+00,7.073161e+00,6.561144e+00
4.178312e+08,-1.8877311,4.067360e+00,7.068583e+00,6.561214e+00
4.251590e+08,-1.8878981,4.064619e+00,7.064009e+00,6.561283e+00
4.326843e+08,-1.8880681,4.061844e+00,7.059387e+00,6.561351e+00
4.403540e+08,-1.8882381,4.059058e+00,7.054752e+00,6.561419e+00
4.480686e+08,-1.8884071,4.056296e+00,7.050164e+00,6.561485e+00
4.558439e+08,-1.8885751,4.053553e+00,7.045614e+00,6.561551e+00
4.638223e+08,-1.8887431,4.050778e+00,7.041021e+00,6.561616e+00
4.721527e+08,-1.8889141,4.047923e+00,7.036305e+00,6.561683e+00
4.809022e+08,-1.8890901,4.044971e+00,7.031438e+00,6.561752e+00
4.900581e+08,-1.8892691,4.041931e+00,7.026435e+00,6.561822e+00
4.995652e+08,-1.8894521,4.038826e+00,7.021335e+00,6.561892e+00
5.093176e+08,-1.8896361,4.035693e+00,7.016199e+00,6.561962e+00
5.192883e+08,-1.8898201,4.032543e+00,7.011045e+00,6.562032e+00
5.295254e+08,-1.8900061,4.029364e+00,7.005853e+00,6.562101e+00
5.400113e+08,-1.8901921,4.026162e+00,7.000635e+00,6.562170e+00
5.508029e+08,-1.8903791,4.022924e+00,6.995368e+00,6.562239e+00
5.619130e+08,-1.8905681,4.019647e+00,6.990050e+00,6.562308e+00
5.734180e+08,-1.8907571,4.016314e+00,6.984651e+00,6.562377e+00
5.853728e+08,-1.8909481,4.012913e+00,6.979154e+00,6.562444e+00
5.978013e+08,-1.8911411,4.009441e+00,6.973555e+00,6.562510e+00
6.107845e+08,-1.8913351,4.005883e+00,6.967830e+00,6.562574e+00
6.243282e+08,-1.8915301,4.002243e+00,6.961986e+00,6.562636e+00
6.384957e+08,-1.8917281,3.998511e+00,6.956009e+00,6.562697e+00
6.532900e+08,-1.8919271,3.994694e+00,6.949910e+00,6.562756e+00
6.687227e+08,-1.8921281,3.990797e+00,6.943695e+00,6.562816e+00
6.847743e+08,-1.8923291,3.986832e+00,6.937385e+00,6.562874e+00
7.014856e+08,-1.8925321,3.982796e+00,6.930975e+00,6.562933e+00
7.188282e+08,-1.8927351,3.978703e+00,6.924486e+00,6.562993e+00
7.367966e+08,-1.8929391,3.974560e+00,6.917931e+00,6.563054e+00
7.553849e+08,-1.8931431,3.970377e+00,6.911321e+00,6.563117e+00
7.745911e+08,-1.8933471,3.966158e+00,6.904665e+00,6.563183e+00
7.944398e+08,-1.8935511,3.961905e+00,6.897963e+00,6.563252e+00
8.148839e+08,-1.8937551,3.957631e+00,6.891238e+00,6.563323e+00
8.359456e+08,-1.8939591,3.953339e+00,6.884491e+00,6.563396e+00
8.576338e+08,-1.8941611,3.949029e+00,6.877724e+00,6.563471e+00
8.799467e+08,-1.8943631,3.944707e+00,6.870944e+00,6.563547e+00
9.029085e+08,-1.8945641,3.940373e+00,6.864151e+00,6.563623e+00
9.265098e+08,-1.8947641,3.936032e+00,6.857352e+00,6.563698e+00
9.508072e+08,-1.8949621,3.931679e+00,6.850537e+00,6.563772e+00
9.757673e+08,-1.8951591,3.927324e+00,6.843721e+00,6.563845e+00
1.001402e+09,-1.8953551,3.922967e+00,6.836905e+00,6.563915e+00
1.027776e+09,-1.8955481,3.918603e+00,6.830076e+00,6.563981e+00
1.054896e+09,-1.8957401,3.914233e+00,6.823239e+00,6.564044e+00
1.082774e+09,-1.8959311,3.909862e+00,6.816397e+00,6.564106e+00
1.111436e+09,-1.8961211,3.905489e+00,6.809549e+00,6.564168e+00
1.140924e+09,-1.8963101,3.901114e+00,6.802691e+00,6.564233e+00
1.171186e+09,-1.8964971,3.896745e+00,6.795840e+00,6.564298e+00
1.202310e+09,-1.8966831,3.892375e+00,6.788981e+00,6.564364e+00
1.234258e+09,-1.8968671,3.888012e+00,6.782126e+00,6.564429e+00
1.267016e+09,-1.8970501,3.883659e+00,6.775281e+00,6.564494e+00
1.300502e+09,-1.8972301,3.879328e+00,6.768466e+00,6.564556e+00
1.334802e+09,-1.8974081,3.875010e+00,6.761667e+00,6.564616e+00
1.369830e+09,-1.8975841,3.870718e+00,6.754902e+00,6.564673e+00
1.405560e+09,-1.8977561,3.866454e+00,6.748176e+00,6.564727e+00
1.441918e+09,-1.8979261,3.862228e+00,6.741504e+00,6.564777e+00
1.478806e+09,-1.8980931,3.858051e+00,6.734904e+00,6.564823e+00
1.516240e+09,-1.8982571,3.853920e+00,6.728370e+00,6.564866e+00
1.554088e+09,-1.8984191,3.849848e+00,6.721925e+00,6.564906e+00
1.592274e+09,-1.8985781,3.845843e+00,6.715579e+00,6.564944e+00
1.630712e+09,-1.8987351,3.841909e+00,6.709340e+00,6.564980e+00
1.675712e+09,-1.8989141,3.837432e+00,6.702232e+00,6.565019e+00
1.743212e+09,-1.8991761,3.830982e+00,6.691977e+00,6.565074e+00
1.844462e+09,-1.8995601,3.821847e+00,6.677418e+00,6.565152e+00
1.957222e+09,-1.8999951,3.812278e+00,6.662111e+00,6.565238e+00
2.063022e+09,-1.9004061,3.803776e+00,6.648462e+00,6.565311e+00
2.164024e+09,-1.9007921,3.796045e+00,6.636017e+00,6.565367e+00
2.264854e+09,-1.9011831,3.788689e+00,6.624130e+00,6.565413e+00
2.364268e+09,-1.9015831,3.781772e+00,6.612885e+00,6.565456e+00
2.461770e+09,-1.9019741,3.775300e+00,6.602278e+00,6.565496e+00
2.560884e+09,-1.9023561,3.769042e+00,6.591891e+00,6.565540e+00
2.665354e+09,-1.9027291,3.763096e+00,6.584644e+00,6.565647e+00
2.781520e+09,-1.9031001,3.757672e+00,6.576234e+00,6.565714e+00
2.917002e+09,-1.9034781,3.752542e+00,6.566265e+00,6.565792e+00
3.074970e+09,-1.9038521,3.747648e+00,6.555881e+00,6.565870e+00
3.263816e+09,-1.9042421,3.742733e+00,6.543822e+00,6.565947e+00
3.479496e+09,-1.9046361,3.738022e+00,6.530983e+00,6.566017e+00
3.722160e+09,-1.9050341,3.733643e+00,6.516766e+00,6.566080e+00
