star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.6523051,5.054474e+00,7.991944e+00,6.360237e+00
6.000000e+04,-1.6830471,5.021670e+00,7.982629e+00,6.378318e+00
1.200000e+05,-1.7038711,4.998673e+00,7.972917e+00,6.393331e+00
1.800000e+05,-1.7198111,4.979890e+00,7.963212e+00,6.406054e+00
2.400000e+05,-1.7327321,4.963421e+00,7.953729e+00,6.416944e+00
3.000000e+05,-1.7435641,4.948473e+00,7.944593e+00,6.426356e+00
3.563501e+05,-1.7523541,4.935429e+00,7.936384e+00,6.434136e+00
4.175187e+05,-1.7606571,4.922223e+00,7.927944e+00,6.441568e+00
4.826013e+05,-1.7683651,4.909036e+00,7.919484e+00,6.448490e+00
5.506962e+05,-1.7754231,4.896026e+00,7.911173e+00,6.454813e+00
6.211872e+05,-1.7818441,4.883296e+00,7.903114e+00,6.460529e+00
6.939098e+05,-1.7876981,4.870863e+00,7.895349e+00,6.465701e+00
7.690774e+05,-1.7930821,4.858706e+00,7.887877e+00,6.470431e+00
8.472813e+05,-1.7980821,4.846737e+00,7.880647e+00,6.474797e+00
9.288560e+05,-1.8027451,4.834911e+00,7.873635e+00,6.478837e+00
1.014041e+06,-1.8071011,4.823238e+00,7.866826e+00,6.482580e+00
1.103283e+06,-1.8111811,4.811725e+00,7.860195e+00,6.486058e+00
1.197187e+06,-1.8150131,4.800412e+00,7.853713e+00,6.489307e+00
1.296737e+06,-1.8186681,4.789094e+00,7.847342e+00,6.492379e+00
1.401719e+06,-1.8221431,4.777764e+00,7.841116e+00,6.495270e+00
1.512050e+06,-1.8254411,4.766414e+00,7.835049e+00,6.497980e+00
1.627745e+06,-1.8285591,4.755130e+00,7.829146e+00,6.500516e+00
1.749560e+06,-1.8315211,4.743882e+00,7.823378e+00,6.502898e+00
1.878007e+06,-1.8343381,4.732678e+00,7.817732e+00,6.505141e+00
2.013697e+06,-1.8370281,4.721497e+00,7.812195e+00,6.507261e+00
2.157134e+06,-1.8395991,4.710345e+00,7.806759e+00,6.509267e+00
2.308888e+06,-1.8420561,4.699237e+00,7.801417e+00,6.511167e+00
2.469681e+06,-1.8444081,4.688172e+00,7.796154e+00,6.512969e+00
2.640210e+06,-1.8466671,4.677084e+00,7.790963e+00,6.514680e+00
2.820473e+06,-1.8488201,4.666147e+00,7.785855e+00,6.516304e+00
3.012641e+06,-1.8508951,4.655287e+00,7.780785e+00,6.517859e+00
3.217765e+06,-1.8528981,4.644535e+00,7.775742e+00,6.519352e+00
3.437262e+06,-1.8548381,4.633838e+00,7.770712e+00,6.520787e+00
3.671760e+06,-1.8567161,4.623115e+00,7.765696e+00,6.522163e+00
3.920829e+06,-1.8585141,4.612479e+00,7.760716e+00,6.523475e+00
4.186425e+06,-1.8602391,4.601938e+00,7.755746e+00,6.524730e+00
4.470510e+06,-1.8618961,4.591474e+00,7.750762e+00,6.525934e+00
4.774738e+06,-1.8634871,4.581117e+00,7.745754e+00,6.527090e+00
