star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
3.17646865e+02,1.09999945e+01,-1.49239294e-08,3.58737263,2.13937269,-1.34509847,6.38455367e-01,5.25064653e-05,5.78291917,-4.34957339,-1,-1.0
3.30263976e+02,1.09999943e+01,-1.47662095e-08,3.58763008,2.13756742,-1.34509847,6.38455367e-01,5.25064653e-05,5.78470188,-4.34420118,-1,-0.9999148832600584
3.43322114e+02,1.09999941e+01,-1.46012619e-08,3.58789768,2.13571638,-1.34509847,6.38455367e-01,5.25064653e-05,5.78652796,-4.33869827,-1,-0.9998267912922326
3.56833991e+02,1.09999939e+01,-1.44308529e-08,3.58817430,2.13381873,-1.34509847,6.38455367e-01,5.25064653e-05,5.78839933,-4.33305780,-1,-0.9997356383396485
3.70855014e+02,1.09999937e+01,-1.42563689e-08,3.58845942,2.13186942,-1.34509847,6.38455367e-01,5.25064653e-05,5.79032492,-4.32725366,-1,-0.9996410506191786
3.85515756e+02,1.09999935e+01,-1.40778728e-08,3.58874627,2.12985794,-1.34509847,6.38455367e-01,5.25064653e-05,5.79230820,-4.32127725,-1,-0.9995421472676772
4.00750206e+02,1.09999933e+01,-1.38951833e-08,3.58904175,2.12779062,-1.34509847,6.38455367e-01,5.25064653e-05,5.79435091,-4.31512071,-1,-0.9994393736042925
4.16546798e+02,1.09999931e+01,-1.37094352e-08,3.58934550,2.12567038,-1.34509847,6.38455367e-01,5.25064653e-05,5.79644385,-4.30880995,-1,-0.9993328076548269
4.32939655e+02,1.09999929e+01,-1.35211753e-08,3.58965793,2.12349522,-1.34509847,6.38455367e-01,5.25064653e-05,5.79858507,-4.30234803,-1,-0.9992222192209003
4.49981253e+02,1.09999927e+01,-1.33304611e-08,3.58998073,2.12126140,-1.34509847,6.38455367e-01,5.25064653e-05,5.80078679,-4.29570420,-1,-0.9991072542923081
4.67690296e+02,1.09999924e+01,-1.31377885e-08,3.59030898,2.11896922,-1.34509847,6.38455367e-01,5.25064653e-05,5.80306550,-4.28884069,-1,-0.9989877866893326
4.86092548e+02,1.09999922e+01,-1.29422387e-08,3.59064650,2.11661868,-1.34509847,6.38455367e-01,5.25064653e-05,5.80536925,-4.28186719,-1,-0.99886364260454
5.05256628e+02,1.09999920e+01,-1.27449727e-08,3.59099841,2.11420341,-1.34509851,6.38455371e-01,5.25064652e-05,5.80774334,-4.27464404,-1,-0.9987343591248606
5.25163055e+02,1.09999917e+01,-1.25466853e-08,3.59135599,2.11172960,-1.34509865,6.38455391e-01,5.25064651e-05,5.81013773,-4.26729061,-1,-0.9986000676717598
5.45843214e+02,1.09999914e+01,-1.23461040e-08,3.59175217,2.10919680,-1.34509893,6.38455432e-01,5.25064647e-05,5.81256047,-4.25979477,-1,-0.9984605565177759
5.67322935e+02,1.09999912e+01,-1.21481840e-08,3.59213859,2.10659959,-1.34509915,6.38455462e-01,5.25064644e-05,5.81506637,-4.25200389,-1,-0.9983156514102299
5.89633009e+02,1.09999909e+01,-1.19447539e-08,3.59252344,2.10393949,-1.34509931,6.38455486e-01,5.25064642e-05,5.81762996,-4.24398643,-1,-0.998165144628865
