star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
2.37468304e+02,1.09999984e+02,-8.41377526e-08,4.40751810,1.82428064,-4.84509847,7.50949399e-01,4.13306745e-05,7.06158109,-1.45832648,-1,-1.0
2.43028826e+02,1.09999983e+02,-8.51067388e-08,4.40844541,1.82233555,-4.84509847,7.50949399e-01,4.13306745e-05,7.06309694,-1.45394912,-1,-0.9996397044943545
2.48589349e+02,1.09999983e+02,-8.60757251e-08,4.40937272,1.82039045,-4.84509847,7.50949399e-01,4.13306745e-05,7.06461280,-1.44957176,-1,-0.9992794089239136
2.54149872e+02,1.09999982e+02,-8.70447113e-08,4.41030003,1.81844535,-4.84509847,7.50949399e-01,4.13306745e-05,7.06612865,-1.44519439,-1,-0.9989191133534729
2.59710394e+02,1.09999982e+02,-8.80136975e-08,4.41122734,1.81650026,-4.84509847,7.50949399e-01,4.13306745e-05,7.06764450,-1.44081703,-1,-0.9985588178478274
2.65270917e+02,1.09999981e+02,-8.89826837e-08,4.41215466,1.81455516,-4.84509847,7.50949399e-01,4.13306745e-05,7.06916036,-1.43643967,-1,-0.9981985222773866
2.71274222e+02,1.09999981e+02,-8.99028444e-08,4.41314085,1.81248825,-4.84509847,7.50949399e-01,4.13306745e-05,7.07077296,-1.43178153,-1,-0.9978095365291926
2.77543932e+02,1.09999980e+02,-9.07936287e-08,4.41416247,1.81034804,-4.84509847,7.50949399e-01,4.13306745e-05,7.07244376,-1.42695446,-1,-0.9974032889979895
2.83813643e+02,1.09999980e+02,-9.16844129e-08,4.41518410,1.80820784,-4.84509848,7.50949399e-01,4.13306745e-05,7.07411457,-1.42212739,-1,-0.996997041401991
2.90083353e+02,1.09999979e+02,-9.25751972e-08,4.41620572,1.80606764,-4.84509848,7.50949399e-01,4.13306744e-05,7.07578538,-1.41730031,-1,-0.9965907938707879
2.96353064e+02,1.09999978e+02,-9.34659814e-08,4.41722734,1.80392744,-4.84509848,7.50949399e-01,4.13306744e-05,7.07745619,-1.41247324,-1,-0.9961845462747895
3.02622775e+02,1.09999978e+02,-9.43567656e-08,4.41824897,1.80178723,-4.84509848,7.50949400e-01,4.13306744e-05,7.07912700,-1.40764617,-1,-0.995778298678791
