  Mass,   Radius,      Age, Class  ,   FeH,           Lum, AbsMagn,     Teff, CoreTemp, CoreDensity,     Mdot, WindSpeed, Phase,    SurfZ,  SurfNuc,  SurfVol,        Magnetic,  Lifetime,     Spin,  MinCoilMass
  2.55,      nan, 1.53E+07, X      ,  0.07,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 6.23E-01,     0.00E+00
  1.63,     0.00, 3.92E+07, Q      , -0.05,        0.0000,   22.70,  23987.3, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 147097584.96091, 1.80E+308, 1.19E-01,     0.00E+00
  2.04,     0.00, 1.32E+07, Q      ,  0.01,        0.0000,   20.37,  41428.5, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 844031184.98913, 1.80E+308, 4.06E-02,     0.00E+00
  1.66,     0.00, 8.48E+07, Q      , -0.00,        0.0000,   24.38,  16300.8, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN,  38776105.03496, 1.80E+308, 2.55E-01,     0.00E+00
  1.48,     0.00, 1.53E+06, Q      , -0.04,        0.0001,   15.54, 124409.3, 1.00E+00,    1.00E+03, 0.00E+00,         0,    14,      NAN,      NAN,      NAN, 2090389987.34875, 1.80E+308, 5.60E-03,     0.00E+00
  2.62,      nan, 8.63E+06, X      ,  0.20,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.80E-01,     0.00E+00
  2.73,      nan, 5.12E+07, X      ,  0.28,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 3.80E-01,     0.00E+00
  2.54,      nan, 5.32E+06, X      ,  0.08,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 2.19E-01,     0.00E+00
  2.61,      nan, 7.55E+06, X      ,  0.11,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 4.23E-01,     0.00E+00
  2.46,      nan, 9.37E+06, X      ,  0.12,           nan,     nan,      nan,      NAN,         NAN, 0.00E+00,         0,    15,      NAN,      NAN,      NAN,         0.00000, 1.80E+308, 7.68E-01,     0.00E+00
