star_age,log_Teff,log_R,log_center_T,log_center_Rho
1.030e+06,3.3651,-0.6745,5.466,0.772
1.663e+06,3.3499,-0.7098,5.475,0.868
2.679e+06,3.3330,-0.7476,5.480,0.975
4.246e+06,3.3023,-0.7848,5.478,1.082
6.839e+06,3.2355,-0.8147,5.468,1.170
1.099e+07,3.1872,-0.8377,5.454,1.239
1.778e+07,3.1367,-0.8583,5.435,1.302
2.884e+07,3.0867,-0.8768,5.412,1.358
4.688e+07,3.0334,-0.8935,5.384,1.409
7.430e+07,2.9784,-0.9074,5.353,1.451
1.189e+08,2.9161,-0.9197,5.321,1.488
1.928e+08,2.8516,-0.9297,5.287,1.518
3.112e+08,2.7896,-0.9382,5.253,1.544
5.000e+08,2.7287,-0.9459,5.220,1.566
7.998e+08,2.6668,-0.9526,5.188,1.585
1.300e+09,2.6064,-0.9582,5.154,1.601
2.118e+09,2.5462,-0.9639,5.121,1.617
3.467e+09,2.4850,-0.9685,5.086,1.630
5.495e+09,2.4278,-0.9726,5.053,1.642
8.750e+09,2.3711,-0.9767,5.020,1.653
