star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.6223271,4.765516e+00,7.936291e+00,6.074655e+00
1.000000e+05,-1.6456041,4.703954e+00,7.927441e+00,6.077825e+00
2.000000e+05,-1.6554131,4.678667e+00,7.919210e+00,6.080567e+00
3.000000e+05,-1.6616581,4.663319e+00,7.911543e+00,6.083055e+00
4.000000e+05,-1.6663621,4.652186e+00,7.904393e+00,6.085355e+00
5.000000e+05,-1.6702131,4.643310e+00,7.897712e+00,6.087504e+00
6.500000e+05,-1.6749291,4.632762e+00,7.888608e+00,6.090467e+00
8.509385e+05,-1.6801371,4.621306e+00,7.877773e+00,6.094057e+00
1.088309e+06,-1.6853071,4.609991e+00,7.866502e+00,6.097861e+00
1.361511e+06,-1.6904091,4.598715e+00,7.855141e+00,6.101769e+00
1.667663e+06,-1.6953681,4.587566e+00,7.844003e+00,6.105665e+00
2.005981e+06,-1.7001841,4.576428e+00,7.833218e+00,6.109484e+00
2.373360e+06,-1.7048141,4.565365e+00,7.822908e+00,6.113164e+00
2.769145e+06,-1.7092441,4.554433e+00,7.813070e+00,6.116684e+00
3.194728e+06,-1.7135141,4.543460e+00,7.803633e+00,6.120042e+00
3.646855e+06,-1.7175681,4.532746e+00,7.794615e+00,6.123209e+00
4.131856e+06,-1.7214841,4.521980e+00,7.785859e+00,6.126221e+00
4.645667e+06,-1.7252171,4.511258e+00,7.777402e+00,6.129054e+00
5.188899e+06,-1.7287621,4.500699e+00,7.769201e+00,6.131716e+00
5.766863e+06,-1.7321491,4.490224e+00,7.761158e+00,6.134234e+00
6.381489e+06,-1.7353851,4.479833e+00,7.753241e+00,6.136615e+00
7.035052e+06,-1.7384751,4.469513e+00,7.745421e+00,6.138866e+00
7.729808e+06,-1.7414181,4.459375e+00,7.737676e+00,6.140997e+00
8.473164e+06,-1.7442421,4.449321e+00,7.729938e+00,6.143028e+00
9.267416e+06,-1.7469551,4.439307e+00,7.722204e+00,6.144966e+00
1.011379e+07,-1.7495361,4.429577e+00,7.714478e+00,6.146812e+00
1.102713e+07,-1.7520341,4.419876e+00,7.706651e+00,6.148592e+00
1.200529e+07,-1.7544371,4.410200e+00,7.698768e+00,6.150297e+00
1.304870e+07,-1.7567261,4.400761e+00,7.690845e+00,6.151924e+00
1.417275e+07,-1.7589381,4.391317e+00,7.682795e+00,6.153491e+00
1.537399e+07,-1.7610431,4.382121e+00,7.674669e+00,6.154986e+00
1.667089e+07,-1.7630801,4.372944e+00,7.666375e+00,6.156430e+00
1.806121e+07,-1.7650231,4.364004e+00,7.657961e+00,6.157813e+00
1.956523e+07,-1.7669001,4.355126e+00,7.649345e+00,6.159150e+00
2.118433e+07,-1.7686991,4.346443e+00,7.640558e+00,6.160436e+00
2.293654e+07,-1.7704331,4.337871e+00,7.631547e+00,6.161678e+00
2.482889e+07,-1.7721001,4.329438e+00,7.622322e+00,6.162875e+00
2.687374e+07,-1.7737051,4.321132e+00,7.612869e+00,6.164031e+00
2.908291e+07,-1.7752491,4.312940e+00,7.603189e+00,6.165150e+00
3.146851e+07,-1.7767351,4.304868e+00,7.593281e+00,6.166233e+00
3.404518e+07,-1.7781641,4.296910e+00,7.583141e+00,6.167281e+00
3.682784e+07,-1.7795411,4.289063e+00,7.572767e+00,6.168295e+00
3.983120e+07,-1.7808661,4.281321e+00,7.562160e+00,6.169275e+00
4.307011e+07,-1.7821441,4.273676e+00,7.551322e+00,6.170220e+00
4.655754e+07,-1.7833741,4.266121e+00,7.540261e+00,6.171127e+00
5.030644e+07,-1.7845621,4.258653e+00,7.528996e+00,6.172005e+00
5.433075e+07,-1.7857101,4.251264e+00,7.517540e+00,6.172857e+00
5.864352e+07,-1.7868231,4.243943e+00,7.505907e+00,6.173684e+00
6.325478e+07,-1.7879021,4.236686e+00,7.494116e+00,6.174487e+00
6.817389e+07,-1.7889501,4.229482e+00,7.482183e+00,6.175266e+00
7.340722e+07,-1.7899681,4.222328e+00,7.470126e+00,6.176018e+00
7.895931e+07,-1.7909551,4.215214e+00,7.457964e+00,6.176740e+00
8.483073e+07,-1.7919111,4.208140e+00,7.445725e+00,6.177430e+00
9.102298e+07,-1.7928391,4.201105e+00,7.433432e+00,6.178092e+00
9.753764e+07,-1.7937381,4.194098e+00,7.421102e+00,6.178728e+00
1.043711e+08,-1.7946081,4.187128e+00,7.408759e+00,6.179340e+00
1.115231e+08,-1.7954531,4.180187e+00,7.396414e+00,6.179933e+00
1.189890e+08,-1.7962741,4.173278e+00,7.384087e+00,6.180512e+00
1.267683e+08,-1.7970731,4.166403e+00,7.371786e+00,6.181078e+00
1.348576e+08,-1.7978491,4.159554e+00,7.359527e+00,6.181626e+00
1.432474e+08,-1.7986031,4.152744e+00,7.347329e+00,6.182157e+00
1.519330e+08,-1.7993371,4.145973e+00,7.335202e+00,6.182666e+00
1.609069e+08,-1.8000521,4.139254e+00,7.323157e+00,6.183153e+00
1.701645e+08,-1.8007501,4.132604e+00,7.311200e+00,6.183616e+00
1.797060e+08,-1.8014331,4.126017e+00,7.299331e+00,6.184058e+00
1.895257e+08,-1.8021041,4.119512e+00,7.287564e+00,6.184484e+00
1.996287e+08,-1.8027651,4.113067e+00,7.275893e+00,6.184895e+00
2.099926e+08,-1.8034141,4.106706e+00,7.264343e+00,6.185290e+00
2.205992e+08,-1.8040501,4.100420e+00,7.252931e+00,6.185668e+00
2.313789e+08,-1.8046701,4.094241e+00,7.241723e+00,6.186029e+00
2.422019e+08,-1.8052651,4.088227e+00,7.230834e+00,6.186367e+00
2.527804e+08,-1.8058231,4.082517e+00,7.220516e+00,6.186675e+00
2.614902e+08,-1.8062721,4.077930e+00,7.212229e+00,6.186913e+00
2.694125e+08,-1.8066741,4.073848e+00,7.204856e+00,6.187117e+00
2.762599e+08,-1.8070161,4.070385e+00,7.198603e+00,6.187285e+00
2.827346e+08,-1.8073351,4.067166e+00,7.192794e+00,6.187439e+00
2.889000e+08,-1.8076351,4.064151e+00,7.187353e+00,6.187580e+00
2.948270e+08,-1.8079201,4.061297e+00,7.182204e+00,6.187712e+00
3.006242e+08,-1.8081971,4.058546e+00,7.177243e+00,6.187838e+00
3.063843e+08,-1.8084681,4.055853e+00,7.172387e+00,6.187960e+00
3.121396e+08,-1.8087371,4.053200e+00,7.167605e+00,6.188080e+00
3.179033e+08,-1.8090021,4.050581e+00,7.162885e+00,6.188198e+00
3.237597e+08,-1.8092671,4.047957e+00,7.158157e+00,6.188315e+00
3.297907e+08,-1.8095351,4.045292e+00,7.153359e+00,6.188435e+00
3.359713e+08,-1.8098071,4.042600e+00,7.148514e+00,6.188555e+00
3.422169e+08,-1.8100781,4.039919e+00,7.143690e+00,6.188675e+00
3.485095e+08,-1.8103481,4.037256e+00,7.138900e+00,6.188794e+00
3.549379e+08,-1.8106181,4.034574e+00,7.134078e+00,6.188915e+00
3.616258e+08,-1.8108911,4.031823e+00,7.129137e+00,6.189038e+00
3.686466e+08,-1.8111711,4.028977e+00,7.124031e+00,6.189165e+00
3.760062e+08,-1.8114581,4.026038e+00,7.118764e+00,6.189296e+00
3.836179e+08,-1.8117481,4.023047e+00,7.113406e+00,6.189428e+00
3.914689e+08,-1.8120411,4.020009e+00,7.107970e+00,6.189560e+00
3.995468e+08,-1.8123351,4.016934e+00,7.102471e+00,6.189692e+00
4.078280e+08,-1.8126301,4.013832e+00,7.096929e+00,6.189824e+00
4.163294e+08,-1.8129261,4.010699e+00,7.091336e+00,6.189954e+00
4.250410e+08,-1.8132211,4.007540e+00,7.085703e+00,6.190083e+00
4.340166e+08,-1.8135181,4.004338e+00,7.079999e+00,6.190210e+00
4.432834e+08,-1.8138151,4.001086e+00,7.074214e+00,6.190335e+00
4.528969e+08,-1.8141151,3.997768e+00,7.068319e+00,6.190459e+00
4.628661e+08,-1.8144151,3.994385e+00,7.062316e+00,6.190581e+00
4.732569e+08,-1.8147171,3.990919e+00,7.056177e+00,6.190702e+00
4.840682e+08,-1.8150221,3.987376e+00,7.049911e+00,6.190821e+00
4.953554e+08,-1.8153281,3.983743e+00,7.043500e+00,6.190941e+00
5.071190e+08,-1.8156361,3.980027e+00,7.036953e+00,6.191061e+00
5.193673e+08,-1.8159471,3.976229e+00,7.030278e+00,6.191180e+00
5.321019e+08,-1.8162581,3.972357e+00,7.023485e+00,6.191299e+00
5.453232e+08,-1.8165711,3.968415e+00,7.016587e+00,6.191419e+00
5.590256e+08,-1.8168851,3.964411e+00,7.009595e+00,6.191538e+00
5.732027e+08,-1.8171991,3.960351e+00,7.002524e+00,6.191658e+00
5.878453e+08,-1.8175131,3.956242e+00,6.995388e+00,6.191779e+00
6.029458e+08,-1.8178271,3.952093e+00,6.988198e+00,6.191900e+00
6.185000e+08,-1.8181411,3.947907e+00,6.980966e+00,6.192023e+00
6.345000e+08,-1.8184531,3.943691e+00,6.973701e+00,6.192143e+00
6.509383e+08,-1.8187631,3.939449e+00,6.966414e+00,6.192261e+00
6.678107e+08,-1.8190711,3.935186e+00,6.959114e+00,6.192376e+00
6.851143e+08,-1.8193771,3.930906e+00,6.951807e+00,6.192489e+00
7.028508e+08,-1.8196801,3.926611e+00,6.944500e+00,6.192600e+00
7.210403e+08,-1.8199801,3.922301e+00,6.937188e+00,6.192708e+00
7.396502e+08,-1.8202781,3.917984e+00,6.929891e+00,6.192814e+00
7.586984e+08,-1.8205721,3.913660e+00,6.922606e+00,6.192918e+00
7.781900e+08,-1.8208641,3.909329e+00,6.915334e+00,6.193019e+00
7.981694e+08,-1.8211531,3.904985e+00,6.908064e+00,6.193120e+00
8.185842e+08,-1.8214381,3.900642e+00,6.900820e+00,6.193218e+00
8.394657e+08,-1.8217201,3.896296e+00,6.893595e+00,6.193316e+00
8.608541e+08,-1.8220001,3.891941e+00,6.886381e+00,6.193411e+00
