star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.5524671,4.356410e+00,7.448190e+00,5.290459e+00
5.000000e+05,-1.5749811,4.234104e+00,7.447690e+00,5.291174e+00
1.000000e+06,-1.5830961,4.186647e+00,7.446966e+00,5.291638e+00
1.500000e+06,-1.5876011,4.160656e+00,7.446224e+00,5.292008e+00
2.000000e+06,-1.5906471,4.143496e+00,7.445492e+00,5.292326e+00
2.500000e+06,-1.5929321,4.130915e+00,7.444777e+00,5.292613e+00
3.178172e+06,-1.5952721,4.118378e+00,7.443846e+00,5.292963e+00
4.075251e+06,-1.5976221,4.106125e+00,7.442690e+00,5.293381e+00
5.246976e+06,-1.5999641,4.094231e+00,7.441310e+00,5.293874e+00
6.758506e+06,-1.6022811,4.082793e+00,7.439734e+00,5.294449e+00
8.689391e+06,-1.6045581,4.071921e+00,7.438002e+00,5.295118e+00
1.114527e+07,-1.6067981,4.061609e+00,7.436136e+00,5.295896e+00
1.421505e+07,-1.6089951,4.051896e+00,7.434117e+00,5.296792e+00
1.782474e+07,-1.6110631,4.043247e+00,7.431922e+00,5.297778e+00
2.116733e+07,-1.6127151,4.036832e+00,7.429903e+00,5.298648e+00
2.372851e+07,-1.6138931,4.032614e+00,7.428323e+00,5.299293e+00
2.597898e+07,-1.6148391,4.029349e+00,7.426890e+00,5.299848e+00
2.850912e+07,-1.6158231,4.026090e+00,7.425208e+00,5.300458e+00
3.123730e+07,-1.6168141,4.022948e+00,7.423306e+00,5.301103e+00
3.406187e+07,-1.6177841,4.019987e+00,7.421242e+00,5.301758e+00
3.697032e+07,-1.6187281,4.017206e+00,7.419022e+00,5.302419e+00
4.003333e+07,-1.6196731,4.014496e+00,7.416591e+00,5.303102e+00
4.326733e+07,-1.6206231,4.011852e+00,7.413936e+00,5.303809e+00
4.669936e+07,-1.6215901,4.009222e+00,7.411036e+00,5.304543e+00
5.031300e+07,-1.6225601,4.006632e+00,7.407910e+00,5.305300e+00
5.419262e+07,-1.6235691,4.004009e+00,7.404492e+00,5.306094e+00
5.820320e+07,-1.6246141,4.001494e+00,7.400911e+00,5.306895e+00
6.196325e+07,-1.6255661,3.999229e+00,7.397526e+00,5.307629e+00
6.574972e+07,-1.6265061,3.997045e+00,7.394100e+00,5.308352e+00
6.950496e+07,-1.6274351,3.994943e+00,7.390694e+00,5.309052e+00
7.317241e+07,-1.6283371,3.992967e+00,7.387367e+00,5.309722e+00
7.681031e+07,-1.6292451,3.991062e+00,7.384071e+00,5.310372e+00
8.031753e+07,-1.6301081,3.989271e+00,7.380901e+00,5.310986e+00
8.394020e+07,-1.6309841,3.987482e+00,7.377639e+00,5.311606e+00
8.771230e+07,-1.6318791,3.985663e+00,7.374260e+00,5.312239e+00
9.165193e+07,-1.6327961,3.983788e+00,7.370751e+00,5.312885e+00
9.576448e+07,-1.6337261,3.981884e+00,7.367113e+00,5.313543e+00
1.001147e+08,-1.6346871,3.979895e+00,7.363295e+00,5.314223e+00
1.046613e+08,-1.6356531,3.977866e+00,7.359338e+00,5.314916e+00
1.095314e+08,-1.6366551,3.975737e+00,7.355141e+00,5.315639e+00
1.146605e+08,-1.6376781,3.973521e+00,7.350766e+00,5.316380e+00
1.200405e+08,-1.6387171,3.971223e+00,7.346227e+00,5.317136e+00
1.256742e+08,-1.6397671,3.968844e+00,7.341529e+00,5.317904e+00
1.315929e+08,-1.6408351,3.966378e+00,7.336651e+00,5.318687e+00
1.377567e+08,-1.6419101,3.963843e+00,7.331634e+00,5.319479e+00
1.442075e+08,-1.6430031,3.961229e+00,7.326450e+00,5.320281e+00
1.508931e+08,-1.6440981,3.958565e+00,7.321146e+00,5.321087e+00
1.578752e+08,-1.6452101,3.955821e+00,7.315679e+00,5.321901e+00
