star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
7.53281738e+02,3.79999975,-2.96590808e-10,3.59285897,1.70599592,-1.34509847,6.38455367e-01,5.25064653e-05,5.79725550,-3.53117189,-1,-1.0
7.89403302e+02,3.79999974,-2.92642893e-10,3.59315723,1.70377395,-1.34509847,6.38455367e-01,5.25064653e-05,5.79939076,-3.52474849,-1,-0.9999847550463702
8.27276691e+02,3.79999972,-2.89106491e-10,3.59345829,1.70147554,-1.34509847,6.38455367e-01,5.25064653e-05,5.80159995,-3.51810065,-1,-0.9999687707423929
8.66960763e+02,3.79999971,-2.85351717e-10,3.59377201,1.69909964,-1.34509847,6.38455367e-01,5.25064653e-05,5.80388362,-3.51122493,-1,-0.9999520222472977
9.08522484e+02,3.79999970,-2.81462695e-10,3.59409682,1.69664526,-1.34509847,6.38455367e-01,5.25064653e-05,5.80624290,-3.50412256,-1,-0.999934481298367
9.52053953e+02,3.79999969,-2.77468506e-10,3.59451263,1.69410743,-1.34509847,6.38455367e-01,5.25064653e-05,5.80868150,-3.49678017,-1,-0.9999161090256065
9.97629840e+02,3.79999968,-2.73588491e-10,3.59487566,1.69148929,-1.34509847,6.38455367e-01,5.25064653e-05,5.81119880,-3.48920022,-1,-0.9998968739148578
1.04538516e+03,3.79999966,-2.69454972e-10,3.59522592,1.68878762,-1.34509847,6.38455367e-01,5.25064653e-05,5.81379698,-3.48137586,-1,-0.9998767189836102
1.09552017e+03,3.79999965,-2.65196003e-10,3.59558966,1.68599741,-1.34509847,6.38455367e-01,5.25064653e-05,5.81648083,-3.47329350,-1,-0.9998555597142418
1.14803586e+03,3.79999964,-2.60883507e-10,3.59596632,1.68312113,-1.34509847,6.38455367e-01,5.25064653e-05,5.81924784,-3.46495935,-1,-0.9998333956889275
1.20302200e+03,3.79999962,-2.56516944e-10,3.59636700,1.68015794,-1.34509847,6.38455367e-01,5.25064653e-05,5.82209860,-3.45637373,-1,-0.9998101890206176
1.26056606e+03,3.79999961,-2.52143979e-10,3.59678903,1.67710740,-1.34509847,6.38455367e-01,5.25064653e-05,5.82503349,-3.44753507,-1,-0.9997859027929676
1.32075414e+03,3.79999959,-2.47708428e-10,3.59722313,1.67396987,-1.34509847,6.38455367e-01,5.25064653e-05,5.82805235,-3.43844343,-1,-0.9997605006678363
1.38389966e+03,3.79999958,-2.43261486e-10,3.59771631,1.67073616,-1.34509847,6.38455367e-01,5.25064653e-05,5.83116346,-3.42907220,-1,-0.9997338503676352
