star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
1.79267308e+02,7.19999949,-2.25317842e-09,3.65943561,2.00304219,-3.34509848,7.49859684e-01,4.14389329e-05,5.71667134,-4.17043024,-1,-1.0
1.87041414e+02,7.19999947,-2.22683874e-09,3.65958538,2.00114443,-3.34509848,7.49859684e-01,4.14389329e-05,5.71855766,-4.16477118,-1,-0.9999665738901523
1.95121239e+02,7.19999945,-2.20023562e-09,3.65979633,1.99919133,-3.34509848,7.49859684e-01,4.14389329e-05,5.72049804,-4.15894983,-1,-0.9999318332887249
2.03523004e+02,7.19999943,-2.17359628e-09,3.65999854,1.99718284,-3.34509848,7.49859684e-01,4.14389329e-05,5.72249357,-4.15296309,-1,-0.9998957084507302
2.12278164e+02,7.19999941,-2.14648793e-09,3.66017194,1.99511548,-3.34509848,7.49859684e-01,4.14389329e-05,5.72454806,-4.14680019,-1,-0.9998580641299691
2.21410299e+02,7.19999940,-2.11833056e-09,3.66035659,1.99298623,-3.34509848,7.49859684e-01,4.14389329e-05,5.72666402,-4.14045377,-1,-0.9998187989401642
2.30164465e+02,7.19999938,-2.09143704e-09,3.66160238,1.99088449,-3.34509848,7.49859684e-01,4.14389329e-05,5.72868105,-4.13440590,-1,-0.9997811588932777
2.33821821e+02,7.19999937,-2.07035434e-09,3.67050211,1.98935783,-3.34509848,7.49859684e-01,4.14389329e-05,5.72961390,-4.13163216,-1,-0.9997654334602301
2.41829134e+02,7.19999935,-2.28270794e-09,3.67380690,1.98711583,-3.34509848,7.49859684e-01,4.14389329e-05,5.73164420,-4.12555292,-1,-0.9997310046366557
2.52243785e+02,7.19999933,-2.25424981e-09,3.67411366,1.98450212,-3.34509847,7.49859684e-01,4.14389330e-05,5.73424247,-4.11775935,-1,-0.9996862250480636
2.63082868e+02,7.19999930,-2.22442926e-09,3.67440452,1.98182648,-3.34509847,7.49859684e-01,4.14389330e-05,5.73690290,-4.10977824,-1,-0.9996396205408693
