star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.5247171,4.444325e+00,7.573761e+00,5.493332e+00
3.500000e+05,-1.5569551,4.336916e+00,7.573486e+00,5.494230e+00
7.000000e+05,-1.5684001,4.294680e+00,7.573177e+00,5.494833e+00
1.050000e+06,-1.5746911,4.271177e+00,7.572888e+00,5.495318e+00
1.400000e+06,-1.5789141,4.255473e+00,7.572606e+00,5.495738e+00
1.750000e+06,-1.5820661,4.243849e+00,7.572329e+00,5.496117e+00
2.275000e+06,-1.5855491,4.231195e+00,7.571921e+00,5.496628e+00
3.047438e+06,-1.5892831,4.217854e+00,7.571342e+00,5.497302e+00
4.112301e+06,-1.5930471,4.204635e+00,7.570583e+00,5.498138e+00
5.566765e+06,-1.5968261,4.191647e+00,7.569590e+00,5.499169e+00
7.533403e+06,-1.6006011,4.179021e+00,7.568227e+00,5.500439e+00
1.015903e+07,-1.6043711,4.166812e+00,7.566176e+00,5.501996e+00
1.357906e+07,-1.6081061,4.155148e+00,7.562917e+00,5.503874e+00
1.788555e+07,-1.6117741,4.144140e+00,7.557884e+00,5.506072e+00
2.309152e+07,-1.6153441,4.133740e+00,7.550760e+00,5.508536e+00
2.908978e+07,-1.6187651,4.123951e+00,7.541700e+00,5.511153e+00
3.574646e+07,-1.6220071,4.114792e+00,7.531143e+00,5.513814e+00
4.297663e+07,-1.6250871,4.106077e+00,7.519524e+00,5.516442e+00
5.066441e+07,-1.6279981,4.097770e+00,7.507293e+00,5.518979e+00
5.874825e+07,-1.6307521,4.089827e+00,7.494737e+00,5.521404e+00
6.719711e+07,-1.6333651,4.082167e+00,7.482022e+00,5.523715e+00
7.596565e+07,-1.6358501,4.074698e+00,7.469285e+00,5.525912e+00
8.496542e+07,-1.6381961,4.067461e+00,7.456682e+00,5.527989e+00
9.410075e+07,-1.6403981,4.060493e+00,7.444348e+00,5.529934e+00
1.031595e+08,-1.6424321,4.053909e+00,7.432541e+00,5.531720e+00
1.108396e+08,-1.6440661,4.048547e+00,7.422812e+00,5.533135e+00
1.166855e+08,-1.6452781,4.044596e+00,7.415559e+00,5.534158e+00
1.221219e+08,-1.6463831,4.041020e+00,7.408942e+00,5.535068e+00
1.269459e+08,-1.6473341,4.037914e+00,7.403165e+00,5.535843e+00
1.318401e+08,-1.6482761,4.034827e+00,7.397398e+00,5.536600e+00
1.366263e+08,-1.6491831,4.031848e+00,7.391844e+00,5.537313e+00
1.412070e+08,-1.6500341,4.029067e+00,7.386604e+00,5.537971e+00
1.456876e+08,-1.6508511,4.026399e+00,7.381547e+00,5.538592e+00
1.501363e+08,-1.6516491,4.023795e+00,7.376593e+00,5.539188e+00
1.545990e+08,-1.6524361,4.021225e+00,7.371688e+00,5.539767e+00
1.590865e+08,-1.6532151,4.018681e+00,7.366821e+00,5.540331e+00
1.636242e+08,-1.6539881,4.016134e+00,7.361963e+00,5.540885e+00
1.682754e+08,-1.6547621,4.013571e+00,7.357048e+00,5.541434e+00
1.731184e+08,-1.6555511,4.010946e+00,7.351999e+00,5.541989e+00
