star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.5903011,4.466990e+00,7.573726e+00,5.493435e+00
3.500000e+05,-1.6103881,4.359463e+00,7.573455e+00,5.494299e+00
7.000000e+05,-1.6180471,4.317072e+00,7.573149e+00,5.494890e+00
1.050000e+06,-1.6224291,4.293340e+00,7.572861e+00,5.495368e+00
1.400000e+06,-1.6254441,4.277410e+00,7.572580e+00,5.495784e+00
1.750000e+06,-1.6277331,4.265582e+00,7.572303e+00,5.496160e+00
2.275000e+06,-1.6303041,4.252672e+00,7.571896e+00,5.496668e+00
3.006504e+06,-1.6329851,4.239593e+00,7.571347e+00,5.497305e+00
4.001748e+06,-1.6357241,4.226663e+00,7.570635e+00,5.498089e+00
5.349150e+06,-1.6385221,4.213903e+00,7.569714e+00,5.499053e+00
7.154975e+06,-1.6413671,4.201417e+00,7.568477e+00,5.500233e+00
9.545936e+06,-1.6442511,4.189295e+00,7.566672e+00,5.501672e+00
1.265165e+07,-1.6471571,4.177636e+00,7.563861e+00,5.503405e+00
1.657442e+07,-1.6500621,4.166544e+00,7.559507e+00,5.505445e+00
2.136178e+07,-1.6529411,4.156052e+00,7.553212e+00,5.507762e+00
2.697824e+07,-1.6557611,4.146063e+00,7.544933e+00,5.510279e+00
3.329488e+07,-1.6584751,4.136624e+00,7.535021e+00,5.512883e+00
4.021585e+07,-1.6610731,4.127664e+00,7.523905e+00,5.515487e+00
4.765812e+07,-1.6635541,4.119111e+00,7.511989e+00,5.518033e+00
5.555721e+07,-1.6659221,4.110846e+00,7.499591e+00,5.520488e+00
6.383444e+07,-1.6681711,4.102899e+00,7.486976e+00,5.522832e+00
7.247250e+07,-1.6703131,4.095180e+00,7.474258e+00,5.525068e+00
8.142316e+07,-1.6723491,4.087643e+00,7.461552e+00,5.527197e+00
9.063883e+07,-1.6742781,4.080328e+00,7.448950e+00,5.529219e+00
1.001102e+08,-1.6761111,4.073159e+00,7.436473e+00,5.531135e+00
1.097227e+08,-1.6778341,4.066225e+00,7.424261e+00,5.532929e+00
1.193216e+08,-1.6794381,4.059630e+00,7.412480e+00,5.534586e+00
1.285611e+08,-1.6808961,4.053509e+00,7.401488e+00,5.536067e+00
1.350819e+08,-1.6818961,4.049321e+00,7.393890e+00,5.537054e+00
1.406025e+08,-1.6827311,4.045865e+00,7.387567e+00,5.537853e+00
1.457775e+08,-1.6834921,4.042690e+00,7.381732e+00,5.538571e+00
1.509861e+08,-1.6842411,4.039555e+00,7.375949e+00,5.539267e+00
1.560929e+08,-1.6849631,4.036539e+00,7.370365e+00,5.539924e+00
1.610009e+08,-1.6856471,4.033693e+00,7.365073e+00,5.540534e+00
1.657598e+08,-1.6863001,4.030980e+00,7.360012e+00,5.541107e+00
1.704594e+08,-1.6869351,4.028343e+00,7.355079e+00,5.541655e+00
1.751608e+08,-1.6875611,4.025745e+00,7.350208e+00,5.542187e+00
