star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
6.70498223e+02,1.35999991,-1.36040305e-10,3.68973046,1.31599008,-3.84509847,7.50629130e-01,4.13624918e-05,5.71251206,-2.80801927,-1,-1.0
7.04582918e+02,1.35999991,-1.34206152e-10,3.68997032,1.31333374,-3.84509847,7.50629130e-01,4.13624918e-05,5.71504928,-2.80043262,-1,-0.9999961247848727
7.40241146e+02,1.35999990,-1.32289956e-10,3.69021759,1.31059920,-3.84509847,7.50629130e-01,4.13624918e-05,5.71766168,-2.79262036,-1,-0.9999920706689547
7.77679143e+02,1.35999990,-1.30195902e-10,3.69047187,1.30777762,-3.84509847,7.50629130e-01,4.13624918e-05,5.72035754,-2.78456024,-1,-0.9999878142045119
8.17151492e+02,1.35999989,-1.27991510e-10,3.69073406,1.30485911,-3.84509847,7.50629130e-01,4.13624919e-05,5.72314662,-2.77621996,-1,-0.9999833264470608
8.58559226e+02,1.35999989,-1.25710023e-10,3.69100359,1.30185130,-3.84509847,7.50629130e-01,4.13624919e-05,5.72602142,-2.76762125,-1,-0.9999786186485259
9.01984856e+02,1.35999988,-1.23378884e-10,3.69128052,1.29875344,-3.84509847,7.50629130e-01,4.13624919e-05,5.72898278,-2.75876285,-1,-0.9999736814279262
9.47504318e+02,1.35999988,-1.21012516e-10,3.69156477,1.29556519,-3.84509847,7.50629130e-01,4.13624919e-05,5.73203106,-2.74964260,-1,-0.9999685061518168
9.95484724e+02,1.35999987,-1.18615823e-10,3.69185705,1.29227513,-3.84509847,7.50629130e-01,4.13624919e-05,5.73517746,-2.74023031,-1,-0.9999630510818757
1.04586267e+03,1.35999986,-1.16189048e-10,3.69215653,1.28888975,-3.84509847,7.50629130e-01,4.13624919e-05,5.73841569,-2.73054131,-1,-0.9999573234267384
1.09858596e+03,1.35999986,-1.13733754e-10,3.69246389,1.28541452,-3.84509847,7.50629130e-01,4.13624919e-05,5.74174041,-2.72059266,-1,-0.9999513291207611
