star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.4861341,4.328925e+00,7.448216e+00,5.290414e+00
5.000000e+05,-1.5211201,4.209489e+00,7.447718e+00,5.291145e+00
1.000000e+06,-1.5330871,4.163016e+00,7.446994e+00,5.291615e+00
1.500000e+06,-1.5395331,4.137578e+00,7.446252e+00,5.291987e+00
2.000000e+06,-1.5438011,4.120798e+00,7.445519e+00,5.292308e+00
2.500000e+06,-1.5469531,4.108506e+00,7.444803e+00,5.292596e+00
3.191349e+06,-1.5501831,4.096086e+00,7.443854e+00,5.292954e+00
4.100442e+06,-1.5533541,4.084067e+00,7.442682e+00,5.293377e+00
5.278981e+06,-1.5564471,4.072527e+00,7.441295e+00,5.293873e+00
6.791356e+06,-1.5594601,4.061464e+00,7.439719e+00,5.294449e+00
8.698719e+06,-1.5623661,4.050998e+00,7.438006e+00,5.295111e+00
1.101169e+07,-1.5651041,4.041399e+00,7.436235e+00,5.295847e+00
1.327544e+07,-1.5673201,4.033928e+00,7.434702e+00,5.296520e+00
1.495959e+07,-1.5688191,4.029217e+00,7.433638e+00,5.297001e+00
1.639747e+07,-1.5699871,4.025678e+00,7.432769e+00,5.297399e+00
1.790368e+07,-1.5710991,4.022379e+00,7.431881e+00,5.297805e+00
1.958294e+07,-1.5722341,4.019133e+00,7.430901e+00,5.298247e+00
2.136649e+07,-1.5733481,4.016068e+00,7.429851e+00,5.298705e+00
2.323145e+07,-1.5744311,4.013184e+00,7.428729e+00,5.299175e+00
2.520764e+07,-1.5754981,4.010431e+00,7.427500e+00,5.299664e+00
2.734446e+07,-1.5765761,4.007725e+00,7.426115e+00,5.300183e+00
2.965663e+07,-1.5776651,4.005072e+00,7.424547e+00,5.300735e+00
3.217093e+07,-1.5787711,4.002439e+00,7.422760e+00,5.301325e+00
3.493683e+07,-1.5799051,3.999783e+00,7.420700e+00,5.301962e+00
3.801885e+07,-1.5810841,3.997076e+00,7.418300e+00,5.302658e+00
4.143048e+07,-1.5823161,3.994301e+00,7.415534e+00,5.303413e+00
4.509296e+07,-1.5835651,3.991551e+00,7.412462e+00,5.304206e+00
4.901881e+07,-1.5848301,3.988812e+00,7.409077e+00,5.305035e+00
5.327828e+07,-1.5861321,3.986033e+00,7.405325e+00,5.305913e+00
5.786507e+07,-1.5874501,3.983204e+00,7.401224e+00,5.306833e+00
6.296816e+07,-1.5888391,3.980205e+00,7.396616e+00,5.307826e+00
6.853006e+07,-1.5902761,3.977097e+00,7.391571e+00,5.308874e+00
7.453131e+07,-1.5917561,3.973888e+00,7.386131e+00,5.309966e+00
8.088896e+07,-1.5932581,3.970617e+00,7.380393e+00,5.311081e+00
8.755825e+07,-1.5947681,3.967344e+00,7.374421e+00,5.312207e+00
9.455750e+07,-1.5962921,3.964028e+00,7.368221e+00,5.313342e+00
1.018370e+08,-1.5978191,3.960682e+00,7.361854e+00,5.314476e+00
1.094182e+08,-1.5993451,3.957324e+00,7.355318e+00,5.315608e+00
1.173529e+08,-1.6008831,3.953884e+00,7.348584e+00,5.316745e+00
1.256387e+08,-1.6024241,3.950378e+00,7.341668e+00,5.317882e+00
1.343077e+08,-1.6039701,3.946778e+00,7.334556e+00,5.319021e+00
1.434053e+08,-1.6055211,3.943084e+00,7.327224e+00,5.320163e+00
1.529659e+08,-1.6070811,3.939283e+00,7.319659e+00,5.321311e+00
1.629776e+08,-1.6086401,3.935389e+00,7.311883e+00,5.322459e+00
1.734915e+08,-1.6102051,3.931377e+00,7.303869e+00,5.323610e+00
1.844568e+08,-1.6117661,3.927280e+00,7.295670e+00,5.324756e+00
1.958741e+08,-1.6133211,3.923094e+00,7.287297e+00,5.325892e+00
2.077107e+08,-1.6148621,3.918839e+00,7.278787e+00,5.327012e+00
2.199528e+08,-1.6163871,3.914518e+00,7.270159e+00,5.328113e+00
2.325716e+08,-1.6178921,3.910149e+00,7.261441e+00,5.329192e+00
2.455547e+08,-1.6193731,3.905746e+00,7.252649e+00,5.330245e+00
2.588984e+08,-1.6208311,3.901314e+00,7.243789e+00,5.331272e+00
2.725823e+08,-1.6222631,3.896858e+00,7.234881e+00,5.332271e+00
2.865813e+08,-1.6236701,3.892386e+00,7.225945e+00,5.333240e+00
3.008733e+08,-1.6250481,3.887910e+00,7.216997e+00,5.334178e+00
3.154444e+08,-1.6264001,3.883430e+00,7.208054e+00,5.335086e+00
3.302759e+08,-1.6277261,3.878954e+00,7.199131e+00,5.335966e+00
3.453558e+08,-1.6290261,3.874486e+00,7.190238e+00,5.336817e+00
3.606714e+08,-1.6303001,3.870029e+00,7.181385e+00,5.337641e+00
3.762280e+08,-1.6315511,3.865585e+00,7.172570e+00,5.338439e+00
3.919843e+08,-1.6327781,3.861165e+00,7.163818e+00,5.339211e+00
4.079507e+08,-1.6339831,3.856766e+00,7.155121e+00,5.339959e+00
4.241155e+08,-1.6351651,3.852391e+00,7.146486e+00,5.340683e+00
4.404656e+08,-1.6363251,3.848046e+00,7.137920e+00,5.341384e+00
4.570094e+08,-1.6374621,3.843727e+00,7.129421e+00,5.342065e+00
4.737398e+08,-1.6385771,3.839436e+00,7.120993e+00,5.342725e+00
4.906591e+08,-1.6396721,3.835172e+00,7.112635e+00,5.343363e+00
5.077056e+08,-1.6407411,3.830951e+00,7.104374e+00,5.343977e+00
5.248727e+08,-1.6417851,3.826771e+00,7.096213e+00,5.344567e+00
5.421818e+08,-1.6428051,3.822628e+00,7.088137e+00,5.345134e+00
5.595790e+08,-1.6438011,3.818534e+00,7.080170e+00,5.345676e+00
5.770579e+08,-1.6447731,3.814490e+00,7.072311e+00,5.346194e+00
5.946078e+08,-1.6457241,3.810500e+00,7.064561e+00,5.346690e+00
6.121678e+08,-1.6466531,3.806578e+00,7.056946e+00,5.347164e+00
6.297208e+08,-1.6475651,3.802726e+00,7.049471e+00,5.347618e+00
6.471823e+08,-1.6484591,3.798964e+00,7.042167e+00,5.348051e+00
6.645277e+08,-1.6493371,3.795294e+00,7.035039e+00,5.348464e+00
6.816947e+08,-1.6502011,3.791731e+00,7.028105e+00,5.348858e+00
6.986178e+08,-1.6510531,3.788285e+00,7.021385e+00,5.349232e+00
7.152576e+08,-1.6518941,3.784960e+00,7.014886e+00,5.349587e+00
7.315587e+08,-1.6527271,3.781766e+00,7.008619e+00,5.349923e+00
7.474707e+08,-1.6535571,3.778709e+00,7.002595e+00,5.350240e+00
7.629375e+08,-1.6543841,3.775798e+00,6.996826e+00,5.350540e+00
7.789375e+08,-1.6552711,3.772851e+00,6.990947e+00,5.350840e+00
8.029375e+08,-1.6566701,3.768574e+00,6.982323e+00,5.351271e+00
8.389375e+08,-1.6588851,3.762450e+00,6.969804e+00,5.351882e+00
8.787220e+08,-1.6613521,3.755961e+00,6.956447e+00,5.352515e+00
9.188526e+08,-1.6638861,3.749702e+00,6.943432e+00,5.353113e+00
9.596710e+08,-1.6665641,3.743656e+00,6.930638e+00,5.353680e+00
1.000723e+09,-1.6692051,3.737829e+00,6.918190e+00,5.354211e+00
1.043217e+09,-1.6717391,3.732010e+00,6.905722e+00,5.354720e+00
1.088334e+09,-1.6742211,3.726193e+00,6.892921e+00,5.355218e+00
1.136360e+09,-1.6766921,3.720645e+00,6.879746e+00,5.355708e+00
1.187038e+09,-1.6790231,3.715402e+00,6.866283e+00,5.356190e+00
1.241459e+09,-1.6811831,3.710288e+00,6.852247e+00,5.356676e+00
1.300837e+09,-1.6832461,3.705249e+00,6.837327e+00,5.357180e+00
1.364789e+09,-1.6852181,3.700473e+00,6.821597e+00,5.357699e+00
1.433246e+09,-1.6871021,3.695926e+00,6.805026e+00,5.358235e+00
1.505728e+09,-1.6888731,3.691425e+00,6.787671e+00,5.358778e+00
1.581252e+09,-1.6905081,3.686822e+00,6.769706e+00,5.359317e+00
1.658738e+09,-1.6920161,3.682144e+00,6.751343e+00,5.359838e+00
1.737241e+09,-1.6934141,3.677511e+00,6.732773e+00,5.360333e+00
1.815972e+09,-1.6947021,3.672899e+00,6.714169e+00,5.360794e+00
1.894444e+09,-1.6958821,3.668266e+00,6.695640e+00,5.361226e+00
1.972170e+09,-1.6969461,3.663503e+00,6.677299e+00,5.361636e+00
