star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.6769541,5.093110e+00,8.037489e+00,6.467311e+00
6.000000e+04,-1.7109751,5.064895e+00,8.017979e+00,6.495298e+00
1.200000e+05,-1.7352881,5.041791e+00,7.999484e+00,6.516979e+00
1.800000e+05,-1.7540711,5.021089e+00,7.982539e+00,6.534198e+00
2.400000e+05,-1.7691501,5.001912e+00,7.967199e+00,6.548085e+00
3.000000e+05,-1.7815341,4.983863e+00,7.953337e+00,6.559380e+00
3.600000e+05,-1.7918811,4.966798e+00,7.940805e+00,6.568679e+00
4.200000e+05,-1.8006771,4.950723e+00,7.929483e+00,6.576488e+00
4.800000e+05,-1.8082481,4.935563e+00,7.919219e+00,6.583130e+00
5.400000e+05,-1.8148221,4.921227e+00,7.909866e+00,6.588813e+00
6.000000e+05,-1.8205721,4.907649e+00,7.901300e+00,6.593705e+00
6.532061e+05,-1.8251141,4.896154e+00,7.894246e+00,6.597513e+00
7.084207e+05,-1.8293451,4.884812e+00,7.887462e+00,6.601019e+00
7.661930e+05,-1.8333291,4.873588e+00,7.880888e+00,6.604292e+00
8.270323e+05,-1.8371131,4.862362e+00,7.874476e+00,6.607368e+00
8.909720e+05,-1.8406971,4.851172e+00,7.868232e+00,6.610253e+00
9.582850e+05,-1.8440881,4.840088e+00,7.862138e+00,6.612963e+00
1.029593e+06,-1.8473191,4.829008e+00,7.856156e+00,6.615521e+00
1.105010e+06,-1.8504011,4.817905e+00,7.850292e+00,6.617934e+00
1.184601e+06,-1.8533401,4.806844e+00,7.844563e+00,6.620215e+00
1.268914e+06,-1.8561561,4.795764e+00,7.838943e+00,6.622379e+00
1.358138e+06,-1.8588521,4.784657e+00,7.833434e+00,6.624429e+00
1.452447e+06,-1.8614271,4.773568e+00,7.828039e+00,6.626367e+00
1.552334e+06,-1.8638981,4.762394e+00,7.822744e+00,6.628204e+00
1.657607e+06,-1.8662521,4.751276e+00,7.817569e+00,6.629937e+00
1.769160e+06,-1.8685081,4.740186e+00,7.812483e+00,6.631585e+00
1.887612e+06,-1.8706731,4.729139e+00,7.807474e+00,6.633153e+00
2.013663e+06,-1.8727531,4.718123e+00,7.802528e+00,6.634650e+00
2.147878e+06,-1.8747541,4.707119e+00,7.797640e+00,6.636078e+00
2.290656e+06,-1.8766801,4.696093e+00,7.792812e+00,6.637441e+00
2.442131e+06,-1.8785241,4.685212e+00,7.788052e+00,6.638740e+00
2.604173e+06,-1.8803011,4.674478e+00,7.783320e+00,6.639992e+00
2.778509e+06,-1.8820311,4.663740e+00,7.778587e+00,6.641203e+00
2.964961e+06,-1.8837091,4.653017e+00,7.773876e+00,6.642368e+00
3.163777e+06,-1.8853211,4.642358e+00,7.769196e+00,6.643485e+00
3.376215e+06,-1.8868711,4.631760e+00,7.764531e+00,6.644558e+00
3.603569e+06,-1.8883591,4.621265e+00,7.759866e+00,6.645589e+00
3.847779e+06,-1.8897911,4.610850e+00,7.755178e+00,6.646584e+00
4.110403e+06,-1.8911661,4.600505e+00,7.750456e+00,6.647544e+00
4.393107e+06,-1.8924861,4.590291e+00,7.745686e+00,6.648470e+00
4.698624e+06,-1.8937571,4.580153e+00,7.740842e+00,6.649366e+00
5.028792e+06,-1.8949781,4.570080e+00,7.735916e+00,6.650233e+00
5.385627e+06,-1.8961491,4.560172e+00,7.730898e+00,6.651069e+00
5.773444e+06,-1.8972761,4.550280e+00,7.725749e+00,6.651880e+00
6.193211e+06,-1.8983541,4.540589e+00,7.720481e+00,6.652663e+00
6.651323e+06,-1.8993931,4.530902e+00,7.715038e+00,6.653424e+00
7.148681e+06,-1.9003851,4.521454e+00,7.709438e+00,6.654160e+00
