star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.6038601,4.697050e+00,7.868634e+00,5.949570e+00
1.250000e+05,-1.6277781,4.627564e+00,7.863953e+00,5.951614e+00
2.500000e+05,-1.6373871,4.599520e+00,7.859554e+00,5.953335e+00
3.750000e+05,-1.6433161,4.582677e+00,7.855389e+00,5.954884e+00
5.000000e+05,-1.6476651,4.570622e+00,7.851433e+00,5.956320e+00
6.250000e+05,-1.6511411,4.561175e+00,7.847663e+00,5.957670e+00
8.125000e+05,-1.6552801,4.550215e+00,7.842385e+00,5.959553e+00
1.082842e+06,-1.6600041,4.538006e+00,7.835441e+00,5.962043e+00
1.418792e+06,-1.6647481,4.525953e+00,7.827667e+00,5.964860e+00
1.824272e+06,-1.6694791,4.514054e+00,7.819288e+00,5.967940e+00
2.300309e+06,-1.6741471,4.502354e+00,7.810532e+00,5.971199e+00
2.847112e+06,-1.6787271,4.490883e+00,7.801566e+00,5.974558e+00
3.464658e+06,-1.6832131,4.479449e+00,7.792478e+00,5.977953e+00
4.143996e+06,-1.6875211,4.468231e+00,7.783425e+00,5.981287e+00
4.885060e+06,-1.6916501,4.457190e+00,7.774394e+00,5.984531e+00
5.686546e+06,-1.6955801,4.446460e+00,7.765389e+00,5.987654e+00
6.555452e+06,-1.6993641,4.435781e+00,7.756334e+00,5.990666e+00
7.484322e+06,-1.7029661,4.425257e+00,7.747311e+00,5.993528e+00
8.475183e+06,-1.7063951,4.414899e+00,7.738311e+00,5.996249e+00
9.532544e+06,-1.7096691,4.404668e+00,7.729312e+00,5.998839e+00
1.065963e+07,-1.7127841,4.394690e+00,7.720308e+00,6.001304e+00
1.186934e+07,-1.7157811,4.384779e+00,7.711225e+00,6.003664e+00
1.315951e+07,-1.7186451,4.375012e+00,7.702111e+00,6.005911e+00
1.453700e+07,-1.7213811,4.365437e+00,7.692945e+00,6.008054e+00
1.601315e+07,-1.7240031,4.356014e+00,7.683687e+00,6.010102e+00
1.759494e+07,-1.7265231,4.346686e+00,7.674331e+00,6.012060e+00
1.928505e+07,-1.7289361,4.337499e+00,7.664898e+00,6.013929e+00
2.109398e+07,-1.7312481,4.328449e+00,7.655364e+00,6.015716e+00
2.303232e+07,-1.7334681,4.319531e+00,7.645710e+00,6.017428e+00
2.511050e+07,-1.7355981,4.310751e+00,7.635923e+00,6.019069e+00
2.734057e+07,-1.7376421,4.302119e+00,7.625985e+00,6.020641e+00
2.973572e+07,-1.7396061,4.293620e+00,7.615876e+00,6.022150e+00
3.230678e+07,-1.7414941,4.285246e+00,7.605596e+00,6.023600e+00
3.506553e+07,-1.7433091,4.276987e+00,7.595145e+00,6.024993e+00
3.802378e+07,-1.7450511,4.268849e+00,7.584524e+00,6.026331e+00
4.119668e+07,-1.7467251,4.260825e+00,7.573724e+00,6.027618e+00
4.459797e+07,-1.7483331,4.252907e+00,7.562744e+00,6.028856e+00
4.824088e+07,-1.7498811,4.245094e+00,7.551584e+00,6.030046e+00
5.213868e+07,-1.7513681,4.237374e+00,7.540244e+00,6.031187e+00
5.630139e+07,-1.7527981,4.229746e+00,7.528739e+00,6.032282e+00
6.074110e+07,-1.7541741,4.222207e+00,7.517083e+00,6.033337e+00
6.547095e+07,-1.7555021,4.214745e+00,7.505285e+00,6.034355e+00
7.050145e+07,-1.7567851,4.207356e+00,7.493355e+00,6.035339e+00
7.584204e+07,-1.7580261,4.200033e+00,7.481309e+00,6.036290e+00
8.150000e+07,-1.7592291,4.192770e+00,7.469157e+00,6.037209e+00
8.747944e+07,-1.7603921,4.185562e+00,7.456917e+00,6.038088e+00
9.377999e+07,-1.7615151,4.178407e+00,7.444614e+00,6.038926e+00
1.004017e+08,-1.7626001,4.171307e+00,7.432272e+00,6.039725e+00
1.073458e+08,-1.7636481,4.164248e+00,7.419908e+00,6.040489e+00
1.146057e+08,-1.7646591,4.157244e+00,7.407547e+00,6.041220e+00
1.221803e+08,-1.7656351,4.150283e+00,7.395199e+00,6.041924e+00
1.300582e+08,-1.7665771,4.143370e+00,7.382892e+00,6.042607e+00
1.382321e+08,-1.7674891,4.136513e+00,7.370645e+00,6.043272e+00
1.466980e+08,-1.7683721,4.129705e+00,7.358470e+00,6.043915e+00
1.554432e+08,-1.7692261,4.122959e+00,7.346387e+00,6.044535e+00
1.644629e+08,-1.7700551,4.116273e+00,7.334402e+00,6.045129e+00
1.737477e+08,-1.7708611,4.109663e+00,7.322526e+00,6.045695e+00
1.832935e+08,-1.7716451,4.103139e+00,7.310760e+00,6.046232e+00
1.930866e+08,-1.7724111,4.096706e+00,7.299119e+00,6.046741e+00
2.030860e+08,-1.7731581,4.090387e+00,7.287648e+00,6.047228e+00
2.132031e+08,-1.7738841,4.084227e+00,7.276437e+00,6.047692e+00
2.232372e+08,-1.7745781,4.078334e+00,7.265679e+00,6.048127e+00
2.317861e+08,-1.7751551,4.073448e+00,7.256758e+00,6.048478e+00
2.390871e+08,-1.7756441,4.069374e+00,7.249308e+00,6.048764e+00
2.456430e+08,-1.7760761,4.065787e+00,7.242748e+00,6.049011e+00
2.517534e+08,-1.7764741,4.062501e+00,7.236744e+00,6.049233e+00
2.576197e+08,-1.7768501,4.059401e+00,7.231075e+00,6.049438e+00
2.632292e+08,-1.7772061,4.056484e+00,7.225739e+00,6.049627e+00
2.686535e+08,-1.7775461,4.053704e+00,7.220656e+00,6.049803e+00
2.739924e+08,-1.7778761,4.051006e+00,7.215725e+00,6.049970e+00
2.793138e+08,-1.7782011,4.048356e+00,7.210880e+00,6.050130e+00
2.846368e+08,-1.7785231,4.045743e+00,7.206102e+00,6.050284e+00
2.899879e+08,-1.7788411,4.043152e+00,7.201365e+00,6.050434e+00
2.954593e+08,-1.7791611,4.040538e+00,7.196590e+00,6.050582e+00
3.011058e+08,-1.7794861,4.037879e+00,7.191734e+00,6.050731e+00
3.068784e+08,-1.7798141,4.035200e+00,7.186841e+00,6.050878e+00
3.127033e+08,-1.7801401,4.032535e+00,7.181974e+00,6.051022e+00
3.185900e+08,-1.7804651,4.029880e+00,7.177127e+00,6.051165e+00
3.246374e+08,-1.7807921,4.027191e+00,7.172220e+00,6.051308e+00
3.309535e+08,-1.7811251,4.024422e+00,7.167172e+00,6.051454e+00
3.375920e+08,-1.7814671,4.021555e+00,7.161948e+00,6.051604e+00
3.445452e+08,-1.7818181,4.018599e+00,7.156564e+00,6.051759e+00
3.516751e+08,-1.7821691,4.015615e+00,7.151132e+00,6.051914e+00
3.590775e+08,-1.7825271,4.012566e+00,7.145584e+00,6.052073e+00
3.666868e+08,-1.7828861,4.009482e+00,7.139975e+00,6.052234e+00
3.744917e+08,-1.7832471,4.006372e+00,7.134318e+00,6.052396e+00
3.825025e+08,-1.7836091,4.003231e+00,7.128611e+00,6.052561e+00
3.907320e+08,-1.7839721,4.000058e+00,7.122847e+00,6.052726e+00
3.992131e+08,-1.7843371,3.996842e+00,7.117011e+00,6.052893e+00
4.079826e+08,-1.7847021,3.993573e+00,7.111081e+00,6.053062e+00
4.170955e+08,-1.7850711,3.990233e+00,7.105030e+00,6.053232e+00
4.265569e+08,-1.7854411,3.986826e+00,7.098862e+00,6.053403e+00
4.364297e+08,-1.7858141,3.983333e+00,7.092546e+00,6.053575e+00
4.467072e+08,-1.7861891,3.979762e+00,7.086096e+00,6.053746e+00
4.574410e+08,-1.7865671,3.976101e+00,7.079490e+00,6.053918e+00
4.686252e+08,-1.7869461,3.972358e+00,7.072743e+00,6.054087e+00
4.802638e+08,-1.7873271,3.968537e+00,7.065864e+00,6.054254e+00
4.923575e+08,-1.7877081,3.964644e+00,7.058862e+00,6.054416e+00
5.049018e+08,-1.7880901,3.960685e+00,7.051751e+00,6.054574e+00
5.178921e+08,-1.7884711,3.956668e+00,7.044545e+00,6.054728e+00
5.313203e+08,-1.7888511,3.952600e+00,7.037258e+00,6.054877e+00
5.451776e+08,-1.7892301,3.948489e+00,7.029904e+00,6.055023e+00
5.594562e+08,-1.7896071,3.944340e+00,7.022496e+00,6.055167e+00
5.741495e+08,-1.7899831,3.940159e+00,7.015045e+00,6.055308e+00
5.892506e+08,-1.7903561,3.935953e+00,7.007561e+00,6.055448e+00
6.047511e+08,-1.7907271,3.931725e+00,7.000055e+00,6.055588e+00
6.206720e+08,-1.7910951,3.927475e+00,6.992523e+00,6.055729e+00
6.369654e+08,-1.7914621,3.923218e+00,6.984995e+00,6.055871e+00
6.536529e+08,-1.7918261,3.918950e+00,6.977465e+00,6.056016e+00
6.707418e+08,-1.7921871,3.914672e+00,6.969933e+00,6.056159e+00
6.882192e+08,-1.7925451,3.910389e+00,6.962412e+00,6.056299e+00
7.060896e+08,-1.7928981,3.906102e+00,6.954902e+00,6.056438e+00
7.243917e+08,-1.7932491,3.901803e+00,6.947394e+00,6.056574e+00
7.430708e+08,-1.7935951,3.897509e+00,6.939913e+00,6.056706e+00
7.621486e+08,-1.7939371,3.893215e+00,6.932454e+00,6.056836e+00
7.816548e+08,-1.7942751,3.888915e+00,6.925009e+00,6.056962e+00
8.016080e+08,-1.7946091,3.884609e+00,6.917574e+00,6.057086e+00
8.219427e+08,-1.7949381,3.880312e+00,6.910178e+00,6.057205e+00
8.427103e+08,-1.7952631,3.876015e+00,6.902805e+00,6.057321e+00
8.639441e+08,-1.7955841,3.871713e+00,6.895447e+00,6.057435e+00
8.855886e+08,-1.7959011,3.867421e+00,6.888128e+00,6.057545e+00
9.076181e+08,-1.7962131,3.863144e+00,6.880857e+00,6.057653e+00
9.300573e+08,-1.7965221,3.858880e+00,6.873631e+00,6.057757e+00
9.529157e+08,-1.7968261,3.854629e+00,6.866448e+00,6.057860e+00
9.761213e+08,-1.7971271,3.850404e+00,6.859332e+00,6.057959e+00
9.996643e+08,-1.7974241,3.846210e+00,6.852285e+00,6.058057e+00
1.023444e+09,-1.7977161,3.842063e+00,6.845337e+00,6.058151e+00
1.047472e+09,-1.7980041,3.837962e+00,6.838482e+00,6.058244e+00
1.071709e+09,-1.7982891,3.833912e+00,6.831730e+00,6.058334e+00
1.096063e+09,-1.7985691,3.829926e+00,6.825100e+00,6.058421e+00
1.120507e+09,-1.7988461,3.826009e+00,6.818597e+00,6.058506e+00
1.144947e+09,-1.7991181,3.822172e+00,6.812239e+00,6.058590e+00
1.169341e+09,-1.7993881,3.818419e+00,6.806034e+00,6.058673e+00
1.193589e+09,-1.7996551,3.814762e+00,6.799998e+00,6.058753e+00
1.217583e+09,-1.7999181,3.811213e+00,6.794150e+00,6.058831e+00
1.241583e+09,-1.8001831,3.807732e+00,6.788422e+00,6.058907e+00
1.277583e+09,-1.8005851,3.802661e+00,6.780086e+00,6.059017e+00
1.331583e+09,-1.8012121,3.795375e+00,6.768119e+00,6.059170e+00
1.395386e+09,-1.8019911,3.787179e+00,6.754665e+00,6.059334e+00
1.455458e+09,-1.8027321,3.779786e+00,6.742556e+00,6.059471e+00
1.515149e+09,-1.8034961,3.772753e+00,6.731033e+00,6.059595e+00
1.574182e+09,-1.8042931,3.766103e+00,6.720102e+00,6.059709e+00
1.632256e+09,-1.8050781,3.759834e+00,6.709765e+00,6.059816e+00
1.691670e+09,-1.8058421,3.753694e+00,6.699592e+00,6.059918e+00
1.754722e+09,-1.8066261,3.747524e+00,6.689211e+00,6.060021e+00
1.821134e+09,-1.8074561,3.741519e+00,6.678690e+00,6.060122e+00
1.889677e+09,-1.8082721,3.735920e+00,6.668215e+00,6.060221e+00
1.963307e+09,-1.8090621,3.730574e+00,6.657332e+00,6.060318e+00
2.045059e+09,-1.8098451,3.725446e+00,6.645610e+00,6.060413e+00
2.135793e+09,-1.8106231,3.720691e+00,6.632929e+00,6.060506e+00
2.236410e+09,-1.8113831,3.716304e+00,6.619139e+00,6.060601e+00
2.347746e+09,-1.8121161,3.712105e+00,6.604085e+00,6.060703e+00
2.469359e+09,-1.8128151,3.707966e+00,6.587781e+00,6.060819e+00
2.600041e+09,-1.8134801,3.703870e+00,6.570341e+00,6.060956e+00
2.737961e+09,-1.8141141,3.699861e+00,6.551954e+00,6.061102e+00
2.881007e+09,-1.8147171,3.695938e+00,6.532845e+00,6.061250e+00
3.026990e+09,-1.8152811,3.692064e+00,6.513256e+00,6.061391e+00
3.174223e+09,-1.8158051,3.688162e+00,6.493384e+00,6.061519e+00
3.321283e+09,-1.8162871,3.684184e+00,6.473421e+00,6.061642e+00
3.467458e+09,-1.8167271,3.680056e+00,6.453481e+00,6.061760e+00
3.657458e+09,-1.8172441,3.674311e+00,6.427456e+00,6.061906e+00
3.847458e+09,-1.8176631,3.668737e+00,6.412602e+00,6.062101e+00
4.037458e+09,-1.8179951,3.663585e+00,6.392822e+00,6.062218e+00
4.227458e+09,-1.8182681,3.658986e+00,6.373903e+00,6.062340e+00
4.417458e+09,-1.8185121,3.654566e+00,6.355636e+00,6.062445e+00
4.607458e+09,-1.8187421,3.650137e+00,6.337546e+00,6.062544e+00
4.797458e+09,-1.8189581,3.645719e+00,6.320006e+00,6.062641e+00
4.987458e+09,-1.8191641,3.641203e+00,6.302467e+00,6.062732e+00
5.177458e+09,-1.8193621,3.636473e+00,6.284602e+00,6.062818e+00
5.367458e+09,-1.8195551,3.631442e+00,6.266190e+00,6.062902e+00
5.557458e+09,-1.8197371,3.626181e+00,6.247812e+00,6.062984e+00
