star_age,log_R,log_Teff,log_center_T,log_center_Rho
0.000000e+00,-1.6654671,4.734044e+00,7.869159e+00,5.949355e+00
1.250000e+05,-1.6818011,4.657297e+00,7.864450e+00,5.951433e+00
2.500000e+05,-1.6887141,4.626936e+00,7.860023e+00,5.953171e+00
3.750000e+05,-1.6930981,4.608885e+00,7.855835e+00,5.954733e+00
5.000000e+05,-1.6963691,4.596036e+00,7.851857e+00,5.956178e+00
6.250000e+05,-1.6990171,4.586008e+00,7.848068e+00,5.957535e+00
8.125000e+05,-1.7022131,4.574420e+00,7.842763e+00,5.959427e+00
1.062305e+06,-1.7056641,4.562384e+00,7.836276e+00,5.961749e+00
1.371135e+06,-1.7091931,4.550449e+00,7.829001e+00,5.964378e+00
1.742102e+06,-1.7127521,4.538682e+00,7.821143e+00,5.967255e+00
2.177760e+06,-1.7163191,4.527060e+00,7.812883e+00,5.970319e+00
2.678235e+06,-1.7198551,4.515663e+00,7.804387e+00,5.973498e+00
3.245194e+06,-1.7233531,4.504330e+00,7.795732e+00,5.976738e+00
3.873076e+06,-1.7267591,4.493124e+00,7.787045e+00,5.979961e+00
4.559181e+06,-1.7300491,4.482094e+00,7.778367e+00,5.983117e+00
5.303732e+06,-1.7332111,4.471284e+00,7.769685e+00,5.986182e+00
6.109672e+06,-1.7362581,4.460574e+00,7.760967e+00,5.989145e+00
6.974159e+06,-1.7391771,4.449971e+00,7.752247e+00,5.991983e+00
7.896611e+06,-1.7419591,4.439603e+00,7.743540e+00,5.994688e+00
8.885720e+06,-1.7446331,4.429320e+00,7.734786e+00,5.997283e+00
9.940800e+06,-1.7471941,4.419155e+00,7.726014e+00,5.999761e+00
1.106550e+07,-1.7496431,4.409146e+00,7.717218e+00,6.002125e+00
1.226681e+07,-1.7519881,4.399297e+00,7.708371e+00,6.004385e+00
1.355230e+07,-1.7542431,4.389532e+00,7.699448e+00,6.006550e+00
1.492346e+07,-1.7563981,4.379970e+00,7.690469e+00,6.008617e+00
1.639375e+07,-1.7584691,4.370530e+00,7.681382e+00,6.010598e+00
1.796764e+07,-1.7604591,4.361189e+00,7.672196e+00,6.012495e+00
1.964937e+07,-1.7623661,4.351982e+00,7.662923e+00,6.014311e+00
2.144906e+07,-1.7641951,4.342907e+00,7.653541e+00,6.016051e+00
2.337690e+07,-1.7659521,4.333959e+00,7.644035e+00,6.017719e+00
2.544277e+07,-1.7676381,4.325150e+00,7.634393e+00,6.019320e+00
2.765873e+07,-1.7692571,4.316485e+00,7.624595e+00,6.020858e+00
3.003716e+07,-1.7708131,4.307950e+00,7.614628e+00,6.022334e+00
3.258870e+07,-1.7723081,4.299537e+00,7.604490e+00,6.023755e+00
3.532450e+07,-1.7737441,4.291239e+00,7.594182e+00,6.025121e+00
3.825661e+07,-1.7751231,4.283062e+00,7.583704e+00,6.026435e+00
4.139925e+07,-1.7764461,4.274997e+00,7.573049e+00,6.027700e+00
4.476593e+07,-1.7777181,4.267038e+00,7.562216e+00,6.028918e+00
4.836972e+07,-1.7789401,4.259183e+00,7.551204e+00,6.030089e+00
5.222375e+07,-1.7801131,4.251420e+00,7.540013e+00,6.031213e+00
5.633805e+07,-1.7812391,4.243748e+00,7.528657e+00,6.032294e+00
6.072448e+07,-1.7823231,4.236163e+00,7.517150e+00,6.033335e+00
6.539564e+07,-1.7833661,4.228655e+00,7.505499e+00,6.034342e+00
7.036169e+07,-1.7843741,4.221219e+00,7.493718e+00,6.035314e+00
7.563248e+07,-1.7853471,4.213850e+00,7.481818e+00,6.036255e+00
8.121660e+07,-1.7862891,4.206538e+00,7.469809e+00,6.037165e+00
8.711937e+07,-1.7871981,4.199278e+00,7.457705e+00,6.038038e+00
9.334187e+07,-1.7880751,4.192067e+00,7.445528e+00,6.038870e+00
9.988440e+07,-1.7889201,4.184903e+00,7.433305e+00,6.039664e+00
1.067472e+08,-1.7897331,4.177788e+00,7.421053e+00,6.040424e+00
1.139317e+08,-1.7905161,4.170715e+00,7.408785e+00,6.041153e+00
1.214335e+08,-1.7912701,4.163679e+00,7.396520e+00,6.041855e+00
1.292460e+08,-1.7919951,4.156683e+00,7.384279e+00,6.042535e+00
1.373642e+08,-1.7926951,4.149731e+00,7.372078e+00,6.043199e+00
1.457838e+08,-1.7933711,4.142829e+00,7.359934e+00,6.043843e+00
1.545001e+08,-1.7940241,4.135968e+00,7.347857e+00,6.044465e+00
1.634987e+08,-1.7946561,4.129170e+00,7.335870e+00,6.045062e+00
1.727793e+08,-1.7952691,4.122430e+00,7.323972e+00,6.045631e+00
1.823320e+08,-1.7958661,4.115770e+00,7.312174e+00,6.046173e+00
1.921573e+08,-1.7964481,4.109191e+00,7.300475e+00,6.046686e+00
2.022453e+08,-1.7970211,4.102697e+00,7.288890e+00,6.047180e+00
2.125701e+08,-1.7975821,4.096302e+00,7.277448e+00,6.047655e+00
2.230714e+08,-1.7981311,4.090028e+00,7.266206e+00,6.048109e+00
2.336027e+08,-1.7986611,4.083949e+00,7.255301e+00,6.048538e+00
2.438508e+08,-1.7991601,4.078210e+00,7.245014e+00,6.048930e+00
2.521631e+08,-1.7995601,4.073671e+00,7.236873e+00,6.049232e+00
2.595731e+08,-1.7999121,4.069710e+00,7.229767e+00,6.049489e+00
2.660664e+08,-1.8002161,4.066301e+00,7.223653e+00,6.049704e+00
2.722636e+08,-1.8005031,4.063102e+00,7.217916e+00,6.049900e+00
2.781719e+08,-1.8007741,4.060101e+00,7.212533e+00,6.050079e+00
2.838539e+08,-1.8010311,4.057258e+00,7.207434e+00,6.050245e+00
2.894167e+08,-1.8012821,4.054515e+00,7.202515e+00,6.050401e+00
2.949458e+08,-1.8015281,4.051828e+00,7.197695e+00,6.050551e+00
3.004729e+08,-1.8017721,4.049180e+00,7.192946e+00,6.050697e+00
3.060120e+08,-1.8020131,4.046563e+00,7.188254e+00,6.050839e+00
3.116470e+08,-1.8022551,4.043938e+00,7.183547e+00,6.050979e+00
3.174557e+08,-1.8025001,4.041269e+00,7.178764e+00,6.051120e+00
