star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
1.85355411e+02,1.49999862e+01,-6.31641073e-08,3.60897219,2.28366713,-1.84509861,7.15400004e-01,4.48623522e-05,5.72806980,-4.65426374,-1,-1.0
1.92496379e+02,1.49999858e+01,-6.25127340e-08,3.60921544,2.28191508,-1.84509863,7.15400005e-01,4.48623521e-05,5.72979178,-4.64890128,-1,-0.9998997777946687
1.99893858e+02,1.49999853e+01,-6.18306616e-08,3.60947407,2.28006368,-1.84509864,7.15400007e-01,4.48623520e-05,5.73160356,-4.64320817,-1,-0.9997959555034509
2.07552827e+02,1.49999849e+01,-6.11061747e-08,3.60973876,2.27818175,-1.84509866,7.15400008e-01,4.48623520e-05,5.73344005,-4.63742043,-1,-0.9996884632469747
2.15491063e+02,1.49999844e+01,-6.03531258e-08,3.61000595,2.27628651,-1.84509867,7.15400009e-01,4.48623519e-05,5.73528567,-4.63159416,-1,-0.9995770515282328
2.23722935e+02,1.49999839e+01,-5.96124540e-08,3.61027778,2.27434266,-1.84509869,7.15400010e-01,4.48623518e-05,5.73717526,-4.62560168,-1,-0.9994615186808871
2.32298227e+02,1.49999834e+01,-5.88649599e-08,3.61055406,2.27234232,-1.84509870,7.15400012e-01,4.48623518e-05,5.73911375,-4.61941655,-1,-0.9993411659954248
2.41215069e+02,1.49999829e+01,-5.80992870e-08,3.61085670,2.27021757,-1.84509872,7.15400013e-01,4.48623517e-05,5.74116477,-4.61281222,-1,-0.9992160197169606
2.50461596e+02,1.49999823e+01,-5.72994680e-08,3.61115066,2.26809105,-1.84509873,7.15400014e-01,4.48623516e-05,5.74321169,-4.60620453,-1,-0.9990862463686421
2.60054624e+02,1.49999818e+01,-5.64948945e-08,3.61145331,2.26593133,-1.84509874,7.15400015e-01,4.48623516e-05,5.74528619,-4.59947996,-1,-0.9989516099409245
2.70011488e+02,1.49999812e+01,-5.56992358e-08,3.61176501,2.26371801,-1.84509876,7.15400016e-01,4.48623515e-05,5.74740709,-4.59256663,-1,-0.9988118671401915
2.80344870e+02,1.49999807e+01,-5.49037234e-08,3.61208681,2.26140588,-1.84509877,7.15400017e-01,4.48623515e-05,5.74961611,-4.58531124,-1,-0.9986668399768475
2.91069058e+02,1.49999801e+01,-5.40756954e-08,3.61241912,2.25904004,-1.84509878,7.15400018e-01,4.48623514e-05,5.75186972,-4.57787094,-1,-0.9985163279213742
3.02203964e+02,1.49999795e+01,-5.32358320e-08,3.61275451,2.25666165,-1.84509879,7.15400019e-01,4.48623513e-05,5.75413037,-4.57038187,-1,-0.9983600515124228
3.13761443e+02,1.49999789e+01,-5.24159633e-08,3.61310319,2.25418000,-1.84509881,7.15400020e-01,4.48623513e-05,5.75648330,-4.56252509,-1,-0.9981978443671939
3.25755766e+02,1.49999783e+01,-5.15715877e-08,3.61345693,2.25165174,-1.84509882,7.15400022e-01,4.48623512e-05,5.75887336,-4.55450069,-1,-0.9980295061947618
3.38205040e+02,1.49999776e+01,-5.07242305e-08,3.61381302,2.24910754,-1.84509883,7.15400023e-01,4.48623512e-05,5.76127409,-4.54640859,-1,-0.9978547828666283
3.51122456e+02,1.49999770e+01,-4.98880834e-08,3.61417943,2.24650753,-1.84509884,7.15400024e-01,4.48623511e-05,5.76372260,-4.53810758,-1,-0.9976734892494742
3.64517341e+02,1.49999763e+01,-4.90490839e-08,3.61456167,2.24376851,-1.84509886,7.15400025e-01,4.48623510e-05,5.76629579,-4.52930418,-1,-0.9974854944405267
3.78453105e+02,1.49999757e+01,-4.81703666e-08,3.61493825,2.24104894,-1.84509887,7.15400026e-01,4.48623510e-05,5.76884347,-4.52055671,-1,-0.997289908491807
3.92932271e+02,1.49999750e+01,-4.73195508e-08,3.61532826,2.23827799,-1.84509890,7.15400028e-01,4.48623509e-05,5.77143531,-4.51160144,-1,-0.9970866959934623
4.07945577e+02,1.49999743e+01,-4.64754422e-08,3.61572255,2.23545205,-1.84509895,7.15400033e-01,4.48623506e-05,5.77407306,-4.50242794,-1,-0.9968759869360021
4.23504142e+02,1.49999736e+01,-4.56254596e-08,3.61613105,2.23250459,-1.84509898,7.15400036e-01,4.48623504e-05,5.77682208,-4.49279492,-1,-0.9966576252662549
4.39624186e+02,1.49999728e+01,-4.47445176e-08,3.61656636,2.22945499,-1.84509900,7.15400037e-01,4.48623504e-05,5.77966212,-4.48277797,-1,-0.9964313833394295
4.56429846e+02,1.49999721e+01,-4.38528861e-08,3.61699962,2.22636915,-1.84509901,7.15400038e-01,4.48623503e-05,5.78252902,-4.47259460,-1,-0.9961955189149917
