star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
8.12855403e+02,1.07999993,-9.82560475e-11,3.70278188,1.21769093,-4.84509847,7.50949395e-01,4.13306749e-05,5.71273863,-2.60952445,-1,-1.0
8.54700281e+02,1.07999993,-9.67093331e-11,3.70300884,1.21474369,-4.84509847,7.50949395e-01,4.13306749e-05,5.71554461,-2.60113848,-1,-0.9999969547683377
8.98540476e+02,1.07999992,-9.50132928e-11,3.70324185,1.21171085,-4.84509847,7.50949395e-01,4.13306749e-05,5.71843232,-2.59250641,-1,-0.9999937643288795
9.44498451e+02,1.07999992,-9.32363956e-11,3.70348110,1.20858929,-4.84509847,7.50949395e-01,4.13306750e-05,5.72140502,-2.58361790,-1,-0.9999904197694663
9.92970944e+02,1.07999991,-9.14092704e-11,3.70372747,1.20536595,-4.84509847,7.50949395e-01,4.13306750e-05,5.72447545,-2.57443809,-1,-0.9999868922177686
1.04390118e+03,1.07999991,-8.95537565e-11,3.70398055,1.20204716,-4.84509847,7.50949395e-01,4.13306750e-05,5.72763739,-2.56498302,-1,-0.9999831858055469
1.09724556e+03,1.07999990,-8.76795005e-11,3.70423993,1.19863799,-4.84509847,7.50949395e-01,4.13306750e-05,5.73088626,-2.55526741,-1,-0.9999793037056879
1.15351845e+03,1.07999990,-8.57890716e-11,3.70450666,1.19512378,-4.84509847,7.50949395e-01,4.13306750e-05,5.73423662,-2.54525036,-1,-0.9999752084855666
1.21253307e+03,1.07999989,-8.38876213e-11,3.70477996,1.19151576,-4.84509847,7.50949395e-01,4.13306750e-05,5.73767691,-2.53496410,-1,-0.9999709137379666
1.27456765e+03,1.07999989,-8.19775696e-11,3.70506008,1.18780886,-4.84509847,7.50949395e-01,4.13306750e-05,5.74121223,-2.52439323,-1,-0.9999663992148947
1.33975005e+03,1.07999988,-8.00613176e-11,3.70534631,1.18400340,-4.84509847,7.50949395e-01,4.13306750e-05,5.74484237,-2.51354006,-1,-0.999961655611429
1.40827225e+03,1.07999988,-7.81377149e-11,3.70564063,1.18009863,-4.84509847,7.50949395e-01,4.13306751e-05,5.74856773,-2.50239870,-1,-0.9999566689563595
1.48012094e+03,1.07999987,-7.62177468e-11,3.70594067,1.17609924,-4.84509847,7.50949395e-01,4.13306751e-05,5.75238457,-2.49098485,-1,-0.9999514402183123
1.55586493e+03,1.07999987,-7.42992079e-11,3.70624766,1.17199522,-4.84509847,7.50949395e-01,4.13306751e-05,5.75630157,-2.47926713,-1,-0.9999459280025381
1.63528440e+03,1.07999986,-7.23842382e-11,3.70656289,1.16779744,-4.84509847,7.50949395e-01,4.13306752e-05,5.76030945,-2.46727717,-1,-0.9999401483062836
1.71862300e+03,1.07999985,-7.04644138e-11,3.70688034,1.16350416,-4.84509847,7.50949395e-01,4.13306752e-05,5.76440974,-2.45501011,-1,-0.9999340833980908
1.80638842e+03,1.07999985,-6.85519212e-11,3.70720634,1.15910894,-4.84509847,7.50949395e-01,4.13306753e-05,5.76860858,-2.44244621,-1,-0.9999276963311757
1.89855249e+03,1.07999984,-6.66517468e-11,3.70753825,1.15461813,-4.84509847,7.50949395e-01,4.13306754e-05,5.77290030,-2.42960697,-1,-0.9999209891555905
1.99534243e+03,1.07999984,-6.47712472e-11,3.70787615,1.15003257,-4.84509847,7.50949395e-01,4.13306755e-05,5.77728361,-2.41649150,-1,-0.9999139453355588
2.09700769e+03,1.07999983,-6.29082686e-11,3.70822004,1.14535266,-4.84509847,7.50949395e-01,4.13306756e-05,5.78175825,-2.40310260,-1,-0.9999065467175318
2.20379927e+03,1.07999982,-6.10633049e-11,3.70856959,1.14057914,-4.84509847,7.50949395e-01,4.13306758e-05,5.78632366,-2.38944164,-1,-0.9998987750351604
2.31596784e+03,1.07999982,-5.92311251e-11,3.70892198,1.13571332,-4.84509847,7.50949395e-01,4.13306760e-05,5.79097795,-2.37551197,-1,-0.9998906120461113
2.43380296e+03,1.07999981,-5.74500979e-11,3.70928330,1.13075641,-4.84509847,7.50949395e-01,4.13306763e-05,5.79572099,-2.36131512,-1,-0.9998820366778582
2.55757008e+03,1.07999980,-5.56883761e-11,3.70964980,1.12571054,-4.84509847,7.50949395e-01,4.13306767e-05,5.80055077,-2.34685734,-1,-0.9998730296124636
2.68755448e+03,1.07999980,-5.39333486e-11,3.71002237,1.12057646,-4.84509847,7.50949395e-01,4.13306771e-05,5.80546646,-2.33214318,-1,-0.9998635700888755
2.82405614e+03,1.07999979,-5.22039459e-11,3.71039937,1.11535562,-4.84509847,7.50949395e-01,4.13306777e-05,5.81046662,-2.31717380,-1,-0.9998536362762596
2.96739091e+03,1.07999978,-5.05042808e-11,3.71078147,1.11005007,-4.84509847,7.50949395e-01,4.13306784e-05,5.81554938,-2.30195572,-1,-0.9998432051888536
3.11809351e+03,1.07999977,-4.88325188e-11,3.71116863,1.10465906,-4.84509847,7.50949395e-01,4.13306794e-05,5.82071614,-2.28648509,-1,-0.9998322379127843
3.27637567e+03,1.07999977,-4.71909833e-11,3.71156003,1.09918604,-4.84509847,7.50949395e-01,4.13306806e-05,5.82596289,-2.27077115,-1,-0.9998207190395495
3.44253860e+03,1.07999976,-4.55758313e-11,3.71195571,1.09363309,-4.84509847,7.50949395e-01,4.13306822e-05,5.83128862,-2.25482217,-1,-0.9998086266488025
3.61696448e+03,1.07999975,-4.40030250e-11,3.71235532,1.08801100,-4.84509847,7.50949395e-01,4.13306842e-05,5.83654867,-2.23889899,-1,-0.9997959329276618
3.80020883e+03,1.07999974,-4.24547068e-11,3.71276030,1.08230218,-4.84509847,7.50949395e-01,4.13306869e-05,5.84202410,-2.22249661,-1,-0.9997825974485488
3.99276522e+03,1.07999973,-4.09494195e-11,3.71316834,1.07652144,-4.84509847,7.50949395e-01,4.13306904e-05,5.84754926,-2.20592513,-1,-0.9997685842922527
4.19473942e+03,1.07999973,-3.94685229e-11,3.71357806,1.07067044,-4.84509847,7.50949395e-01,4.13306948e-05,5.85316179,-2.18910883,-1,-0.9997538857614359
4.40706348e+03,1.07999972,-3.80337951e-11,3.71399408,1.06474307,-4.84509847,7.50949395e-01,4.13307007e-05,5.85885266,-2.17205960,-1,-0.9997384340268131
4.62991114e+03,1.07999971,-3.66339546e-11,3.71441076,1.05874628,-4.84509847,7.50949395e-01,4.13307084e-05,5.86461268,-2.15480150,-1,-0.9997222164445776
4.86390270e+03,1.07999970,-3.52672359e-11,3.71483011,1.05268171,-4.84509847,7.50949395e-01,4.13307184e-05,5.87044182,-2.13733487,-1,-0.9997051878728317
5.10970394e+03,1.07999969,-3.39365137e-11,3.71525087,1.04655256,-4.84509847,7.50949395e-01,4.13307315e-05,5.87633517,-2.11967665,-1,-0.9996872998599026
5.36771433e+03,1.07999969,-3.26269435e-11,3.71567076,1.04035959,-4.84509847,7.50949395e-01,4.13307487e-05,5.88229376,-2.10182391,-1,-0.9996685233346412
5.63863068e+03,1.07999968,-3.13813232e-11,3.71609599,1.03410441,-4.84509847,7.50949395e-01,4.13307714e-05,5.88831469,-2.08378468,-1,-0.9996488075871881
