star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
3.22520331e+02,1.29994478e+02,-2.13332462e-05,6.36191422,4.49713553,1.70936321,-1.34509849,4.64275526e+02,7.33999029,-6.99190430e-01,-1,-1.0
3.28041892e+02,1.29994353e+02,-2.14560216e-05,6.36237127,4.49765756,1.70854767,-1.34509849,4.68263420e+02,7.34100986,-6.96218448e-01,-1,-0.999163841736463
3.33563453e+02,1.29994227e+02,-2.15787970e-05,6.36282832,4.49817959,1.70773212,-1.34509849,4.72251315e+02,7.34202943,-6.93246466e-01,-1,-0.9983276834729261
3.39085014e+02,1.29994101e+02,-2.17015724e-05,6.36328537,4.49870163,1.70691658,-1.34509849,4.76239209e+02,7.34304900,-6.90274484e-01,-1,-0.9974915252093891
3.44606575e+02,1.29993976e+02,-2.18243478e-05,6.36374242,4.49922366,1.70610103,-1.34509849,4.80227104e+02,7.34406856,-6.87302502e-01,-1,-0.9966553669458521
3.50128136e+02,1.29993850e+02,-2.19471232e-05,6.36419947,4.49974570,1.70528549,-1.34509849,4.84214998e+02,7.34508813,-6.84330520e-01,-1,-0.9958192086823151
3.55649697e+02,1.29993724e+02,-2.20698986e-05,6.36465652,4.50026773,1.70446995,-1.34509849,4.88202893e+02,7.34610770,-6.81358538e-01,-1,-0.9949830504187782
3.61171258e+02,1.29993598e+02,-2.21926740e-05,6.36511357,4.50078977,1.70365440,-1.34509849,4.92190788e+02,7.34712726,-6.78386556e-01,-1,-0.9941468921552412
3.66692819e+02,1.29993473e+02,-2.23154494e-05,6.36557062,4.50131180,1.70283886,-1.34509849,4.96178682e+02,7.34814683,-6.75414574e-01,-1,-0.9933107338917042
3.72214380e+02,1.29993347e+02,-2.24382248e-05,6.36602767,4.50183384,1.70202331,-1.34509849,5.00166577e+02,7.34916640,-6.72442592e-01,-1,-0.9924745756281672
3.77735941e+02,1.29993221e+02,-2.25610002e-05,6.36648472,4.50235587,1.70120777,-1.34509849,5.04154471e+02,7.35018597,-6.69470610e-01,-1,-0.9916384173646303
3.83257503e+02,1.29993096e+02,-2.26837756e-05,6.36694177,4.50287791,1.70039222,-1.34509849,5.08142366e+02,7.35120553,-6.66498628e-01,-1,-0.9908022589496582
3.89079037e+02,1.29992960e+02,-2.28266683e-05,6.36739209,4.50343555,1.69950209,-1.34509849,5.12769606e+02,7.35227392,-6.63384659e-01,-1,-0.9899206742382765
3.95544555e+02,1.29992802e+02,-2.30127486e-05,6.36782797,4.50406965,1.69845183,-1.34509849,5.18769398e+02,7.35344711,-6.59965872e-01,-1,-0.9889415677313037
4.02010073e+02,1.29992643e+02,-2.31988290e-05,6.36826385,4.50470375,1.69740157,-1.34509849,5.24769189e+02,7.35462030,-6.56547085e-01,-1,-0.987962461224331
4.08475591e+02,1.29992485e+02,-2.33849094e-05,6.36869973,4.50533785,1.69635131,-1.34509849,5.30768981e+02,7.35579349,-6.53128298e-01,-1,-0.9869833547173582
4.14941110e+02,1.29992327e+02,-2.35709898e-05,6.36913561,4.50597195,1.69530105,-1.34509849,5.36768772e+02,7.35696667,-6.49709511e-01,-1,-0.9860042480589503
4.21406628e+02,1.29992169e+02,-2.37570701e-05,6.36957149,4.50660605,1.69425079,-1.34509849,5.42768564e+02,7.35813986,-6.46290725e-01,-1,-0.9850251415519775
4.27872146e+02,1.29992011e+02,-2.39431505e-05,6.37000737,4.50724015,1.69320053,-1.34509849,5.48768355e+02,7.35931305,-6.42871938e-01,-1,-0.9840460350450048
4.34337664e+02,1.29991853e+02,-2.41292309e-05,6.37044326,4.50787425,1.69215027,-1.34509849,5.54768147e+02,7.36048624,-6.39453151e-01,-1,-0.983066928538032
4.40803183e+02,1.29991695e+02,-2.43153112e-05,6.37087914,4.50850835,1.69110001,-1.34509849,5.60767938e+02,7.36165943,-6.36034364e-01,-1,-0.9820878218796242
4.47502064e+02,1.29991528e+02,-2.45053811e-05,6.37130806,4.50917031,1.68999057,-1.34509849,5.67038766e+02,7.36286878,-6.32510510e-01,-1,-0.9810733760182815
4.54828583e+02,1.29991338e+02,-2.47061808e-05,6.37171829,4.50990718,1.68872194,-1.34509849,5.74038556e+02,7.36417539,-6.28704074e-01,-1,-0.9799638837198517
