star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase
1.88170978e+02,6.39999960,-1.86614362e-09,3.51049942,3.65986882,1.95818921,-3.34509848,6.38900023e-05,5.71470118,-4.08710974,-1
1.96404425e+02,6.39999958,-1.84464290e-09,3.50736875,3.66002148,1.95631857,-3.34509848,6.37909760e-05,5.71655413,-4.08155198,-1
2.04961476e+02,6.39999957,-1.82253090e-09,3.50415236,3.66017923,1.95439486,-3.34509848,6.36824203e-05,5.71845970,-4.07583777,-1
2.13879888e+02,6.39999955,-1.80066525e-09,3.50083856,3.66034152,1.95241339,-3.34509848,6.35936165e-05,5.72042244,-4.06995106,-1
2.23168065e+02,6.39999953,-1.77886875e-09,3.49742533,3.66050777,1.95037428,-3.34509848,6.35171615e-05,5.72244219,-4.06389316,-1
2.32847164e+02,6.39999952,-1.75636449e-09,3.49390934,3.66067812,1.94827558,-3.34509848,6.34256689e-05,5.72452088,-4.05765985,-1
2.42689283e+02,6.39999950,-1.73353449e-09,3.49168864,3.66119004,1.94614139,-3.34509848,6.46094555e-05,5.72661242,-4.05138629,-1
2.46750616e+02,6.39999949,-1.71545251e-09,3.52427692,3.67011236,1.94459089,-3.34509848,9.78228558e-05,5.72757177,-4.04853215,-1
2.54758671e+02,6.39999948,-1.89231210e-09,3.53631278,3.67419428,1.94244498,-3.34509848,1.25457377e-04,5.72945300,-4.04290281,-1
2.65828684e+02,6.39999946,-1.86981747e-09,3.53245725,3.67452452,1.93985674,-3.34509847,1.26230716e-04,5.73201669,-4.03521511,-1
2.77383846e+02,6.39999943,-1.84495429e-09,3.52829095,3.67481032,1.93720200,-3.34509847,1.26718232e-04,5.73464749,-4.02732507,-1
2.89398868e+02,6.39999941,-1.81945884e-09,3.52403493,3.67510510,1.93448442,-3.34509847,1.27202046e-04,5.73734065,-4.01924740,-1
3.01984091e+02,6.39999939,-1.79157449e-09,3.51966004,3.67540852,1.93169014,-3.34509847,1.27554724e-04,5.74010949,-4.01094406,-1
3.15101615e+02,6.39999937,-1.76240161e-09,3.51517533,3.67571960,1.92882562,-3.34509847,1.27843573e-04,5.74294754,-4.00243228,-1
3.28770433e+02,6.39999934,-1.73251599e-09,3.51062303,3.67604943,1.92588981,-3.34509847,1.28141038e-04,5.74585582,-3.99371128,-1
3.43007604e+02,6.39999932,-1.70219309e-09,3.50591879,3.67637657,1.92288341,-3.34509847,1.28395979e-04,5.74883410,-3.98477895,-1
3.57848296e+02,6.39999929,-1.67124246e-09,3.50108319,3.67670718,1.91980439,-3.34509847,1.28609928e-04,5.75188425,-3.97563244,-1
3.73390805e+02,6.39999927,-1.64058923e-09,3.49612923,3.67704878,1.91664422,-3.34509847,1.28873890e-04,5.75501444,-3.96624441,-1
3.89567971e+02,6.39999924,-1.60969658e-09,3.49106763,3.67739864,1.91341368,-3.34509847,1.29138362e-04,5.75821395,-3.95664636,-1
4.06399633e+02,6.39999922,-1.57869346e-09,3.48589349,3.67775555,1.91011280,-3.34509847,1.29407666e-04,5.76148318,-3.94683951,-1
4.24028398e+02,6.39999919,-1.54733635e-09,3.48070766,3.67815164,1.90672770,-3.34509847,1.29759825e-04,5.76483470,-3.93678372,-1
4.42374702e+02,6.39999916,-1.51620223e-09,3.47527674,3.67852163,1.90327227,-3.34509847,1.30032475e-04,5.76825655,-3.92651817,-1
4.61498517e+02,6.39999913,-1.48517912e-09,3.46977267,3.67891039,1.89974270,-3.34509847,1.30358446e-04,5.77175134,-3.91603506,-1
4.81479539e+02,6.39999910,-1.45382200e-09,3.46410484,3.67929716,1.89613525,-3.34509847,1.30628264e-04,5.77532332,-3.90531916,-1
