star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
2.20704254e+02,5.19999966,-1.31444597e-09,3.35310585,3.66270088,1.87382831,-3.84509848,5.73124569e-05,5.71498929,-3.92342481,-1,-1.0
2.30603800e+02,5.19999965,-1.29890743e-09,3.35001795,3.66290424,1.87187764,-3.84509848,5.73048193e-05,5.71691056,-3.91766477,-1,-0.9999773724902189
2.40930677e+02,5.19999964,-1.28341975e-09,3.34664453,3.66306613,1.86986717,-3.84509848,5.72536796e-05,5.71889108,-3.91172821,-1,-0.9999537682248996
2.44882603e+02,5.19999963,-1.27457807e-09,3.37518110,3.67085553,1.86855663,-3.84509848,8.92345332e-05,5.71973060,-3.90922927,-1,-0.9999447352607395
2.47346477e+02,5.19999963,-1.26727308e-09,3.41111151,3.68041152,1.86740986,-3.84509848,1.28630333e-04,5.72030429,-3.90753117,-1,-0.9999391035546962
2.53840568e+02,5.19999962,-1.52302761e-09,3.42850077,3.68567192,1.86558369,-3.84509847,1.81956855e-04,5.72180535,-3.90304718,-1,-0.9999242599338249
2.65189961e+02,5.19999960,-1.50155053e-09,3.42441761,3.68595996,1.86296603,-3.84509847,1.82508735e-04,5.72438903,-3.89530220,-1,-0.9998983184915491
2.77039829e+02,5.19999959,-1.48136555e-09,3.42015933,3.68623851,1.86027980,-3.84509847,1.83184339e-04,5.72704092,-3.88735115,-1,-0.9998712331076259
2.89402083e+02,5.19999957,-1.45986595e-09,3.41578959,3.68652401,1.85752392,-3.84509847,1.83743632e-04,5.72976137,-3.87919586,-1,-0.9998429765569417
3.02318848e+02,5.19999955,-1.43665462e-09,3.41129614,3.68681578,1.85469366,-3.84509847,1.84124029e-04,5.73255508,-3.87081888,-1,-0.9998134525538837
3.15821934e+02,5.19999953,-1.41283382e-09,3.40668403,3.68711604,1.85178708,-3.84509847,1.84468738e-04,5.73542421,-3.86221622,-1,-0.9997825883899574
3.29880234e+02,5.19999951,-1.38839252e-09,3.40195927,3.68742328,1.84881023,-3.84509847,1.84762323e-04,5.73836253,-3.85340532,-1,-0.9997504551668019
3.44609651e+02,5.19999949,-1.36351458e-09,3.39710046,3.68773811,1.84575115,-3.84509847,1.85027025e-04,5.74138214,-3.84435056,-1,-0.9997167879635548
3.59971349e+02,5.19999947,-1.33837047e-09,3.39214278,3.68806570,1.84261713,-3.84509847,1.85305725e-04,5.74447547,-3.83507381,-1,-0.9996816755481219
3.75994837e+02,5.19999945,-1.31300921e-09,3.38703188,3.68839264,1.83940781,-3.84509847,1.85537099e-04,5.74764308,-3.82557518,-1,-0.9996450504714319
3.92763465e+02,5.19999943,-1.28746178e-09,3.38179626,3.68872939,1.83611651,-3.84509847,1.85771951e-04,5.75089184,-3.81583356,-1,-0.9996067222194005
