star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
5.55491865e+02,3.19999979,-3.25963990e-10,2.74404648,3.61435855,1.66598329,-1.84509850,8.54051063e-05,5.73787114,-3.49209262,-1,-1.0
5.83846909e+02,3.19999978,-3.21767253e-10,2.74061184,3.61462518,1.66373271,-1.84509850,8.52065989e-05,5.74003989,-3.48559628,-1,-0.9999905940397481
6.12784015e+02,3.19999977,-3.17567093e-10,2.74730950,3.61761258,1.66110675,-1.84509850,1.03778761e-04,5.74228190,-3.47888361,-1,-0.9999809949973752
6.43675458e+02,3.19999976,-3.20559076e-10,2.74588005,3.61851976,1.65857765,-1.84509850,1.10429932e-04,5.74465427,-3.47177848,-1,-0.9999707476606058
6.76468333e+02,3.19999975,-3.16134689e-10,2.74210147,3.61886198,1.65600392,-1.84509850,1.10287378e-04,5.74713598,-3.46434394,-1,-0.9999598695791331
7.10933843e+02,3.19999974,-3.11790696e-10,2.73814003,3.61920295,1.65334127,-1.84509850,1.10194324e-04,5.74970384,-3.45665142,-1,-0.9999484366497001
7.47082749e+02,3.19999973,-3.07161684e-10,2.73407401,3.61956166,1.65059084,-1.84509850,1.10027368e-04,5.75235666,-3.44870456,-1,-0.9999364453026585
7.85009065e+02,3.19999972,-3.02320361e-10,2.72983152,3.61992118,1.64775055,-1.84509850,1.09800815e-04,5.75509635,-3.44049666,-1,-0.999923864351601
8.24817263e+02,3.19999971,-2.97327494e-10,2.72558176,3.62032590,1.64481622,-1.84509850,1.09557403e-04,5.75792664,-3.43201664,-1,-0.9999106591409835
8.66848430e+02,3.19999970,-2.92262465e-10,2.72098450,3.62069610,1.64177721,-1.84509850,1.09283471e-04,5.76085850,-3.42322924,-1,-0.9998967165251251
9.10916117e+02,3.19999968,-2.87053038e-10,2.71630167,3.62109171,1.63864456,-1.84509850,1.08979615e-04,5.76388102,-3.41417047,-1,-0.9998820983530526
9.57083467e+02,3.19999967,-2.81774976e-10,2.71157987,3.62152482,1.63541745,-1.84509850,1.08676484e-04,5.76699473,-3.40483847,-1,-0.9998667836789145
1.00572199e+03,3.19999966,-2.76486628e-10,2.70657791,3.62194046,1.63208520,-1.84509850,1.08369311e-04,5.77021089,-3.39519694,-1,-0.9998506492650849
