star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
3.87024407e+02,1.39984292e+02,-4.96304414e-05,4.54359219,1.64794048,-1.34509848,6.38455370e-01,5.25254055e-05,7.43564671,-4.39600445e-01,-1,-1.0
3.93041382e+02,1.39983976e+02,-4.98569489e-05,4.54414345,1.64694357,-1.34509848,6.38455370e-01,5.25266137e-05,7.43657982,-4.36893329e-01,-1,-0.9990191719000933
3.99058356e+02,1.39983660e+02,-5.00834564e-05,4.54469471,1.64594667,-1.34509848,6.38455370e-01,5.25278219e-05,7.43751293,-4.34186214e-01,-1,-0.9980383439631967
4.05075331e+02,1.39983344e+02,-5.03099638e-05,4.54524598,1.64494977,-1.34509848,6.38455369e-01,5.25290301e-05,7.43844604,-4.31479099e-01,-1,-0.99705751586329
4.11092305e+02,1.39983028e+02,-5.05364713e-05,4.54579724,1.64395286,-1.34509848,6.38455369e-01,5.25302383e-05,7.43937915,-4.28771984e-01,-1,-0.9960766879263935
4.17109279e+02,1.39982712e+02,-5.07629788e-05,4.54634850,1.64295596,-1.34509848,6.38455369e-01,5.25314465e-05,7.44031226,-4.26064869e-01,-1,-0.9950958599894969
4.23126254e+02,1.39982396e+02,-5.09894863e-05,4.54689976,1.64195906,-1.34509848,6.38455368e-01,5.25326546e-05,7.44124537,-4.23357753e-01,-1,-0.9941150318895902
4.29143228e+02,1.39982079e+02,-5.12159937e-05,4.54745103,1.64096215,-1.34509848,6.38455368e-01,5.25338628e-05,7.44217848,-4.20650638e-01,-1,-0.9931342039526936
4.35160203e+02,1.39981763e+02,-5.14425012e-05,4.54800229,1.63996525,-1.34509848,6.38455368e-01,5.25350710e-05,7.44311159,-4.17943523e-01,-1,-0.9921533758527868
4.41177177e+02,1.39981447e+02,-5.16690087e-05,4.54855355,1.63896835,-1.34509848,6.38455367e-01,5.25362792e-05,7.44404470,-4.15236408e-01,-1,-0.9911725479158903
4.47194152e+02,1.39981131e+02,-5.18955161e-05,4.54910481,1.63797144,-1.34509848,6.38455367e-01,5.25374874e-05,7.44497781,-4.12529293e-01,-1,-0.9901917198159835
4.53211126e+02,1.39980815e+02,-5.21220236e-05,4.54965608,1.63697454,-1.34509848,6.38455366e-01,5.25386956e-05,7.44591092,-4.09822177e-01,-1,-0.9892108918790871
4.59228100e+02,1.39980499e+02,-5.23485311e-05,4.55020734,1.63597764,-1.34509848,6.38455366e-01,5.25399038e-05,7.44684403,-4.07115062e-01,-1,-0.9882300639421905
4.65380344e+02,1.39980172e+02,-5.25928482e-05,4.55077142,1.63495242,-1.34509848,6.38455366e-01,5.25411844e-05,7.44779410,-4.04360078e-01,-1,-0.9872271856199966
4.72395029e+02,1.39979780e+02,-5.29507152e-05,4.55141723,1.63374667,-1.34509848,6.38455365e-01,5.25429264e-05,7.44885234,-4.01299891e-01,-1,-0.9860837206463189
4.79409715e+02,1.39979388e+02,-5.33085823e-05,4.55206304,1.63254092,-1.34509848,6.38455365e-01,5.25446685e-05,7.44991058,-3.98239704e-01,-1,-0.984940255509631
4.86424400e+02,1.39978996e+02,-5.36664493e-05,4.55270885,1.63133517,-1.34509848,6.38455364e-01,5.25464106e-05,7.45096882,-3.95179517e-01,-1,-0.9837967905359534
4.93439086e+02,1.39978604e+02,-5.40243164e-05,4.55335465,1.63012942,-1.34509849,6.38455363e-01,5.25481527e-05,7.45202706,-3.92119330e-01,-1,-0.9826533253992655
5.00453771e+02,1.39978212e+02,-5.43821835e-05,4.55400046,1.62892367,-1.34509849,6.38455363e-01,5.25498947e-05,7.45308530,-3.89059144e-01,-1,-0.9815098604255879
5.07468457e+02,1.39977819e+02,-5.47400505e-05,4.55464627,1.62771792,-1.34509849,6.38455362e-01,5.25516368e-05,7.45414354,-3.85998957e-01,-1,-0.9803663952889
5.14483142e+02,1.39977427e+02,-5.50979176e-05,4.55529208,1.62651217,-1.34509849,6.38455362e-01,5.25533789e-05,7.45520177,-3.82938770e-01,-1,-0.9792229303152223
5.21497828e+02,1.39977035e+02,-5.54557847e-05,4.55593789,1.62530642,-1.34509849,6.38455361e-01,5.25551210e-05,7.45626001,-3.79878583e-01,-1,-0.9780794651785345
5.28512513e+02,1.39976643e+02,-5.58136517e-05,4.55658370,1.62410067,-1.34509849,6.38455361e-01,5.25568630e-05,7.45731825,-3.76818396e-01,-1,-0.9769360002048568
5.36184681e+02,1.39976199e+02,-5.61614036e-05,4.55730129,1.62274066,-1.34509849,6.38455360e-01,5.25589289e-05,7.45845441,-3.73544238e-01,-1,-0.9756853588175143
5.44059550e+02,1.39975738e+02,-5.65060370e-05,4.55804101,1.62133308,-1.34509849,6.38455359e-01,5.25610947e-05,7.45961460,-3.70204113e-01,-1,-0.9744016751062999
5.51934420e+02,1.39975277e+02,-5.68506703e-05,4.55878072,1.61992551,-1.34509849,6.38455359e-01,5.25632604e-05,7.46077479,-3.66863988e-01,-1,-0.9731179912320753
5.59809290e+02,1.39974816e+02,-5.71953037e-05,4.55952044,1.61851793,-1.34509849,6.38455358e-01,5.25654261e-05,7.46193498,-3.63523863e-01,-1,-0.9718343073578507
5.67684159e+02,1.39974355e+02,-5.75399371e-05,4.56026016,1.61711035,-1.34509849,6.38455357e-01,5.25675919e-05,7.46309517,-3.60183738e-01,-1,-0.9705506236466364
5.75559029e+02,1.39973895e+02,-5.78845704e-05,4.56099988,1.61570278,-1.34509849,6.38455357e-01,5.25697576e-05,7.46425536,-3.56843612e-01,-1,-0.9692669397724117
5.83433898e+02,1.39973434e+02,-5.82292038e-05,4.56173960,1.61429520,-1.34509849,6.38455356e-01,5.25719233e-05,7.46541555,-3.53503487e-01,-1,-0.9679832560611973
5.91440906e+02,1.39972962e+02,-5.85737257e-05,4.56249309,1.61285748,-1.34509849,6.38455355e-01,5.25741383e-05,7.46659000,-3.50125434e-01,-1,-0.9666780323495185
6.00105322e+02,1.39972435e+02,-5.89176927e-05,4.56331512,1.61126980,-1.34509849,6.38455354e-01,5.25765983e-05,7.46783542,-3.46558680e-01,-1,-0.9652656444499376
6.08769738e+02,1.39971909e+02,-5.92616597e-05,4.56413716,1.60968213,-1.34509849,6.38455354e-01,5.25790582e-05,7.46908084,-3.42991926e-01,-1,-0.9638532565503566
6.17434155e+02,1.39971382e+02,-5.96056268e-05,4.56495919,1.60809445,-1.34509849,6.38455353e-01,5.25815182e-05,7.47032626,-3.39425171e-01,-1,-0.9624408684877654
6.26098571e+02,1.39970856e+02,-5.99495938e-05,4.56578122,1.60650677,-1.34509849,6.38455352e-01,5.25839781e-05,7.47157168,-3.35858417e-01,-1,-0.9610284805881844
6.34762987e+02,1.39970329e+02,-6.02935609e-05,4.56660325,1.60491910,-1.34509849,6.38455351e-01,5.25864381e-05,7.47281710,-3.32291663e-01,-1,-0.9596160926886034
6.43427404e+02,1.39969803e+02,-6.06375279e-05,4.56742528,1.60333142,-1.34509849,6.38455351e-01,5.25888980e-05,7.47406252,-3.28724909e-01,-1,-0.9582037046260122
6.52557378e+02,1.39969236e+02,-6.09814575e-05,4.56829262,1.60164312,-1.34509849,6.38455350e-01,5.25914779e-05,7.47535290,-3.25045572e-01,-1,-0.9567154260390781
6.61970790e+02,1.39968645e+02,-6.13253642e-05,4.56918755,1.59989356,-1.34509849,6.38455349e-01,5.25941309e-05,7.47667067,-3.21297693e-01,-1,-0.9551809441764147
