star_age,star_mass,star_mdot,log_L,log_Teff,log_R,log_surf_z,v_wind_Km_per_s,log_center_T,log_center_Rho,phase,x
1.88170978e+02,6.39999960,-1.86614362e-09,3.51049942,3.65986882,1.95818921,-3.34509848,6.38900023e-05,5.71470118,-4.08710974,-1,-1.0
1.96488786e+02,6.39999958,-1.84442260e-09,3.50733668,3.66002304,1.95629940,-3.34509848,6.37899614e-05,5.71657312,-4.08149504,-1,-0.999971589835649
2.05139221e+02,6.39999956,-1.82207325e-09,3.50408581,3.66018251,1.95435505,-3.34509848,6.36801253e-05,5.71849913,-4.07571952,-1,-0.9999420435561416
2.14160329e+02,6.39999955,-1.80000516e-09,3.50073498,3.66034658,1.95235149,-3.34509848,6.35914840e-05,5.72048376,-4.06976712,-1,-0.9999112312122034
2.23561197e+02,6.39999953,-1.77795108e-09,3.49728213,3.66051471,1.95028880,-3.34509848,6.35134925e-05,5.72252686,-4.06363929,-1,-0.9998791217664309
2.33363259e+02,6.39999951,-1.75518513e-09,3.49372407,3.66068707,1.94816504,-3.34509848,6.34205228e-05,5.72463035,-4.05733143,-1,-0.9998456420092162
2.42938962e+02,6.39999950,-1.73242286e-09,3.49369208,3.66173856,1.94604607,-3.34509848,6.66513204e-05,5.72667140,-4.05121082,-1,-0.9998129353999742
2.47041908e+02,6.39999949,-1.71415561e-09,3.52661426,3.67075230,1.94447968,-3.34509848,1.00205032e-04,5.72764058,-4.04832744,-1,-0.9997989214469972
2.55652518e+02,6.39999948,-1.89051173e-09,3.53602198,3.67422678,1.94223458,-3.34509848,1.25540073e-04,5.72966125,-4.04227848,-1,-0.9997695111930863
2.66879942e+02,6.39999945,-1.86754333e-09,3.53207523,3.67455042,1.93961392,-3.34509847,1.26275063e-04,5.73225733,-4.03449341,-1,-0.9997311629935273
2.78584804e+02,6.39999943,-1.84238464e-09,3.52786148,3.67484013,1.93692763,-3.34509847,1.26768907e-04,5.73491937,-4.02650965,-1,-0.9996911840648088
2.90805117e+02,6.39999941,-1.81635903e-09,3.52354440,3.67513912,1.93417111,-3.34509847,1.27244131e-04,5.73765111,-4.01831638,-1,-0.9996494445703711
3.03579064e+02,6.39999939,-1.78801529e-09,3.51911210,3.67544647,1.93134026,-3.34509847,1.27591294e-04,5.74045616,-4.00990423,-1,-0.9996058140930049
3.16892180e+02,6.39999936,-1.75844861e-09,3.51456955,3.67576174,1.92843844,-3.34509847,1.27879493e-04,5.74333110,-4.00128222,-1,-0.9995603420391196
3.30768297e+02,6.39999934,-1.72819478e-09,3.50996930,3.67609894,1.92546392,-3.34509847,1.28188269e-04,5.74627772,-3.99244602,-1,-0.999512947008539
3.45223245e+02,6.39999932,-1.69751503e-09,3.50518274,3.67642525,1.92241803,-3.34509847,1.28428563e-04,5.74929514,-3.98339618,-1,-0.9994635749325828
3.60375244e+02,6.39999929,-1.66622506e-09,3.50027488,3.67676296,1.91928867,-3.34509847,1.28653344e-04,5.75239510,-3.97410038,-1,-0.9994118220210182
