star_age,star_mass,star_mdot,log_Teff,log_R,log_surf_z,surface_h1,surface_he3,log_center_T,log_center_Rho,phase,x
1.22628596e+02,1.09999929e+01,-4.89563112e-08,3.65678760,2.17912167,-3.34509854,7.49859688e-01,4.14389326e-05,5.70407321,-4.50746781,-1,-1.0
1.27763845e+02,1.09999927e+01,-4.83542845e-08,3.65694695,2.17731949,-3.34509854,7.49859688e-01,4.14389326e-05,5.70583147,-4.50191442,-1,-0.9999539476081252
1.33098994e+02,1.09999924e+01,-4.77375571e-08,3.65710896,2.17546741,-3.34509855,7.49859688e-01,4.14389325e-05,5.70763501,-4.49619860,-1,-0.9999061025333374
1.37128122e+02,1.09999922e+01,-4.71577691e-08,3.66096377,2.17376423,-3.34509856,7.49859689e-01,4.14389325e-05,5.70903163,-4.49183169,-1,-0.9998699697223346
1.40360584e+02,1.09999921e+01,-4.77348043e-08,3.66711970,2.17213078,-3.34509857,7.49859689e-01,4.14389324e-05,5.71020168,-4.48825124,-1,-0.999840981331169
1.46204873e+02,1.09999918e+01,-5.15585715e-08,3.66735074,2.16996348,-3.34509856,7.49859689e-01,4.14389324e-05,5.71235494,-4.48168570,-1,-0.999788570340532
1.52286159e+02,1.09999915e+01,-5.08899475e-08,3.66758764,2.16775583,-3.34509850,7.49859686e-01,4.14389328e-05,5.71455409,-4.47496448,-1,-0.9997340339848511
1.58638393e+02,1.09999912e+01,-5.02097333e-08,3.66783122,2.16547478,-3.34509851,7.49859686e-01,4.14389328e-05,5.71681668,-4.46799233,-1,-0.9996770677950034
1.65244920e+02,1.09999908e+01,-4.94984976e-08,3.66808099,2.16314654,-3.34509852,7.49859687e-01,4.14389327e-05,5.71912086,-4.46086827,-1,-0.9996178211313391
1.72120590e+02,1.09999905e+01,-4.87415434e-08,3.66833851,2.16075845,-3.34509852,7.49859687e-01,4.14389327e-05,5.72147656,-4.45354223,-1,-0.9995561608205652
1.79278038e+02,1.09999901e+01,-4.79515851e-08,3.66860098,2.15831011,-3.34509852,7.49859687e-01,4.14389327e-05,5.72388333,-4.44601312,-1,-0.9994919735532838
1.86728989e+02,1.09999898e+01,-4.71443866e-08,3.66887034,2.15579716,-3.34509852,7.49859687e-01,4.14389327e-05,5.72634419,-4.43826506,-1,-0.9994251541808848
1.94484592e+02,1.09999894e+01,-4.63295359e-08,3.66914639,2.15322317,-3.34509854,7.49859688e-01,4.14389326e-05,5.72885554,-4.43030659,-1,-0.999355602720268
2.02564350e+02,1.09999891e+01,-4.55018501e-08,3.66943149,2.15057099,-3.34509853,7.49859687e-01,4.14389327e-05,5.73143137,-4.42207640,-1,-0.9992831442705084
2.10993963e+02,1.09999887e+01,-4.46658755e-08,3.66972210,2.14786110,-3.34509855,7.49859689e-01,4.14389325e-05,5.73405401,-4.41364678,-1,-0.9992075483566142
2.19762740e+02,1.09999883e+01,-4.38283188e-08,3.67002093,2.14508259,-3.34509855,7.49859689e-01,4.14389325e-05,5.73673311,-4.40497399,-1,-0.9991289108543886
2.28881847e+02,1.09999879e+01,-4.29849032e-08,3.67032583,2.14224029,-3.34509853,7.49859688e-01,4.14389326e-05,5.73946392,-4.39607573,-1,-0.9990471316282766
2.38372505e+02,1.09999875e+01,-4.21471334e-08,3.67063764,2.13933752,-3.34509854,7.49859688e-01,4.14389326e-05,5.74224381,-4.38695645,-1,-0.998962020370504
2.48285363e+02,1.09999871e+01,-4.13074374e-08,3.67095748,2.13636710,-3.34509855,7.49859689e-01,4.14389325e-05,5.74507825,-4.37759378,-1,-0.9988731228659787
2.58590966e+02,1.09999867e+01,-4.04575034e-08,3.67128469,2.13333085,-3.34509855,7.49859689e-01,4.14389325e-05,5.74796688,-4.36798800,-1,-0.9987807032641518
2.69295455e+02,1.09999863e+01,-3.96110926e-08,3.67161756,2.13023107,-3.34509858,7.49859690e-01,4.14389323e-05,5.75090732,-4.35814550,-1,-0.9986847064931583
2.80485277e+02,1.09999858e+01,-3.87658448e-08,3.67195809,2.12706245,-3.34509859,7.49859691e-01,4.14389323e-05,5.75390428,-4.34804253,-1,-0.9985843573050754
2.92110460e+02,1.09999854e+01,-3.79207353e-08,3.67230656,2.12383102,-3.34509856,7.49859689e-01,4.14389325e-05,5.75695344,-4.33769908,-1,-0.9984801038437278
3.04209745e+02,1.09999849e+01,-3.70797846e-08,3.67266180,2.12053709,-3.34509856,7.49859689e-01,4.14389325e-05,5.76005408,-4.32711197,-1,-0.9983715986837589
3.16826815e+02,1.09999845e+01,-3.62487657e-08,3.67302269,2.11717265,-3.34509857,7.49859690e-01,4.14389324e-05,5.76321471,-4.31624454,-1,-0.9982584500804581
3.29931773e+02,1.09999840e+01,-3.54080395e-08,3.67339375,2.11373439,-3.34509856,7.49859689e-01,4.14389324e-05,5.76643838,-4.30508072,-1,-0.9981409261470872
3.43605580e+02,1.09999835e+01,-3.45682112e-08,3.67377250,2.11023285,-3.34509858,7.49859690e-01,4.14389323e-05,5.76971515,-4.29365897,-1,-0.9980183008336146
3.57821086e+02,1.09999831e+01,-3.37440926e-08,3.67415350,2.10668508,-3.34509857,7.49859690e-01,4.14389324e-05,5.77303065,-4.28204052,-1,-0.9978908176184851
3.72627783e+02,1.09999826e+01,-3.29278245e-08,3.67454396,2.10307476,-3.34509859,7.49859691e-01,4.14389323e-05,5.77640039,-4.27015346,-1,-0.9977580326624653
3.88045322e+02,1.09999821e+01,-3.21139631e-08,3.67494272,2.09939692,-3.34509861,7.49859692e-01,4.14389322e-05,5.77982952,-4.25796920,-1,-0.9976197697373816
4.04067490e+02,1.09999816e+01,-3.13038325e-08,3.67534636,2.09565665,-3.34509859,7.49859691e-01,4.14389323e-05,5.78331403,-4.24550668,-1,-0.9974760845607875
4.20787382e+02,1.09999811e+01,-3.05041587e-08,3.67575595,2.09186373,-3.34509860,7.49859691e-01,4.14389322e-05,5.78684699,-4.23279915,-1,-0.9973261422661708
4.38177656e+02,1.09999805e+01,-2.97135310e-08,3.67617300,2.08801673,-3.34509862,7.49859693e-01,4.14389321e-05,5.79043020,-4.21983341,-1,-0.9971701880538125
4.56253901e+02,1.09999800e+01,-2.89387663e-08,3.67659413,2.08411612,-3.34509860,7.49859692e-01,4.14389322e-05,5.79406373,-4.20660287,-1,-0.997008082123143
4.75108929e+02,1.09999795e+01,-2.81731396e-08,3.67702301,2.08015856,-3.34509861,7.49859692e-01,4.14389322e-05,5.79775198,-4.19308652,-1,-0.9968389921455652
4.94727406e+02,1.09999789e+01,-2.74149117e-08,3.67745782,2.07614915,-3.34509862,7.49859692e-01,4.14389321e-05,5.80149184,-4.17929535,-1,-0.9966630556348349
5.15128994e+02,1.09999784e+01,-2.66711773e-08,3.67789746,2.07209024,-3.34509863,7.49859693e-01,4.14389320e-05,5.80528260,-4.16523292,-1,-0.9964800962641317
5.36358120e+02,1.09999778e+01,-2.59400064e-08,3.67834379,2.06798085,-3.34509862,7.49859693e-01,4.14389321e-05,5.80912698,-4.15088438,-1,-0.9962897156166282
5.58492370e+02,1.09999773e+01,-2.52121249e-08,3.67879698,2.06381926,-3.34509868,7.49859696e-01,4.14389318e-05,5.81302923,-4.13622915,-1,-0.9960912179089503
5.81515151e+02,1.09999767e+01,-2.44972346e-08,3.67925519,2.05960925,-3.34509864,7.49859694e-01,4.14389320e-05,5.81698939,-4.12128041,-1,-0.9958847519454381
6.05471266e+02,1.09999761e+01,-2.38008347e-08,3.67971821,2.05536157,-3.34509865,7.49859694e-01,4.14389320e-05,5.82099493,-4.10607103,-1,-0.9956699159373346
6.30410658e+02,1.09999756e+01,-2.31248963e-08,3.68018656,2.05107636,-3.34509869,7.49859697e-01,4.14389317e-05,5.82505068,-4.09058486,-1,-0.995446262000884
6.56360006e+02,1.09999750e+01,-2.24505331e-08,3.68065884,2.04675500,-3.34509867,7.49859695e-01,4.14389318e-05,5.82915696,-4.07482126,-1,-0.9952135508815222
6.83364247e+02,1.09999744e+01,-2.18001104e-08,3.68113830,2.04239877,-3.34509867,7.49859695e-01,4.14389318e-05,5.83331619,-4.05877285,-1,-0.9949713795887936
7.11493466e+02,1.09999738e+01,-2.11586491e-08,3.68162182,2.03800537,-3.34509869,7.49859696e-01,4.14389317e-05,5.83753567,-4.04241564,-1,-0.9947191196075307
7.40765411e+02,1.09999732e+01,-2.05314701e-08,3.68210892,2.03357511,-3.34509868,7.49859696e-01,4.14389317e-05,5.84181674,-4.02573402,-1,-0.9944566117754707
7.71232574e+02,1.09999726e+01,-1.99195840e-08,3.68260455,2.02912590,-3.34509869,7.49859697e-01,4.14389317e-05,5.84614325,-4.00880117,-1,-0.994183385349685
8.02946402e+02,1.09999719e+01,-1.93256246e-08,3.68310052,2.02465318,-3.34509870,7.49859697e-01,4.14389317e-05,5.85052524,-3.99157036,-1,-0.9938989789586987
8.35953254e+02,1.09999713e+01,-1.87443339e-08,3.68360256,2.02015710,-3.34509871,7.49859698e-01,4.14389316e-05,5.85496567,-3.97402993,-1,-0.9936029768597044
8.70308466e+02,1.09999707e+01,-1.81812930e-08,3.68410975,2.01564815,-3.34509874,7.49859700e-01,4.14389314e-05,5.85945857,-3.95621529,-1,-0.9932948828050703
9.06066064e+02,1.09999701e+01,-1.76345364e-08,3.68462006,2.01112632,-3.34509877,7.49859701e-01,4.14389312e-05,5.86400846,-3.93810288,-1,-0.9929742122951111
9.43282969e+02,1.09999694e+01,-1.71027725e-08,3.68513432,2.00659228,-3.34509879,7.49859702e-01,4.14389311e-05,5.86861897,-3.91967262,-1,-0.9926404548680754
9.82016664e+02,1.09999688e+01,-1.65846177e-08,3.68565291,2.00204328,-3.34509880,7.49859703e-01,4.14389311e-05,5.87330237,-3.90088608,-1,-0.992293095022253
1.02233351e+03,1.09999681e+01,-1.60830726e-08,3.68617479,1.99749387,-3.34509881,7.49859704e-01,4.14389310e-05,5.87804667,-3.88179701,-1,-0.9919315376389307
1.06429702e+03,1.09999675e+01,-1.55976918e-08,3.68670072,1.99294317,-3.34509882,7.49859704e-01,4.14389309e-05,5.88286160,-3.86237820,-1,-0.9915552131399703
1.10797622e+03,1.09999668e+01,-1.51283738e-08,3.68722996,1.98840057,-3.34509883,7.49859705e-01,4.14389309e-05,5.88774342,-3.84265265,-1,-0.9911635025072087
1.15343720e+03,1.09999661e+01,-1.46726548e-08,3.68776197,1.98386475,-3.34509888,7.49859708e-01,4.14389306e-05,5.89270377,-3.82258544,-1,-0.9907558130522334
1.20076529e+03,1.09999654e+01,-1.42355236e-08,3.68829682,1.97936339,-3.34509890,7.49859709e-01,4.14389305e-05,5.89770867,-3.80228277,-1,-0.990331379544264
